"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"38","Joan Sindelar","Kalamazoo Lassies",1953,81,273,246,14,25,55,48,7,0,0,3,27,40,0.224,0.3,0.252,0.552,62,0.476258803403685,21.2143524956116
"39","Doris Sams","Kalamazoo Lassies",1953,46,194,173,21,23,54,47,4,2,1,11,21,14,0.312,0.387,0.376,0.762,65,0.771173234078786,27.3884498511605
"40","Betty Francis","Kalamazoo Lassies",1953,78,248,212,23,31,48,41,7,0,0,5,36,10,0.226,0.339,0.259,0.598,55,0.509329660152066,21.0367286336325
"41","Theresa Rukavina","Kalamazoo Lassies",1953,99,296,269,21,31,48,39,7,1,1,5,27,57,0.178,0.253,0.223,0.476,60,0.418395613295301,19.3155861320748
"42","Jean Dowler","Kalamazoo Lassies",1953,70,213,193,20,18,39,33,4,0,2,1,20,16,0.202,0.277,0.254,0.531,49,0.516488370075151,18.3959928995869
"43","Isabel Alvarez","Kalamazoo Lassies",1953,53,130,123,12,4,24,20,4,0,0,0,7,9,0.195,0.238,0.228,0.466,28,0.360086208570007,6.85183657136988
"44","Dorothy Parker","Kalamazoo Lassies",1953,32,82,74,3,10,14,12,2,0,0,0,8,2,0.189,0.268,0.216,0.485,16,0.393162396144083,4.90563771722048
"45","Agnes Allen","Kalamazoo Lassies",1953,38,76,70,2,12,13,12,0,1,0,1,6,7,0.186,0.25,0.214,0.464,15,0.459754351590158,5.6358775502727
"46","Gloria Elliott","Kalamazoo Lassies",1953,29,83,76,1,4,9,9,0,0,0,0,7,14,0.118,0.193,0.118,0.311,9,0.323890518322127,3.72808307723307
"47","Catherine Blumetta","Kalamazoo Lassies",1953,23,60,59,6,3,8,7,1,0,0,0,1,13,0.136,0.15,0.153,0.303,9,0.257292635608988,1.83503727671187
"48","Elaine Roth","Kalamazoo Lassies",1953,26,29,26,4,4,5,5,0,0,0,0,3,2,0.192,0.276,0.192,0.468,5,0.485228837251838,2.30952276237002
"49","Ruth Heverly","Kalamazoo Lassies",1953,22,50,40,1,5,3,3,0,0,0,1,10,12,0.075,0.26,0.075,0.335,3,0.35989292149676,2.63324186674553
"50","Ange Armato","Kalamazoo Lassies",1953,27,34,26,2,5,2,2,0,0,0,1,8,6,0.077,0.294,0.077,0.371,2,0.406488149032664,2.13155252188243
"51","Naomi Meier","Muskegon Belles",1953,111,443,406,27,44,93,84,6,2,1,25,37,46,0.229,0.293,0.261,0.555,106,0.604136824367479,46.6165456955392
"52","Margaret Jones","Muskegon Belles",1953,112,457,402,29,65,91,71,9,9,2,45,55,33,0.226,0.319,0.308,0.628,124,0.65560324471209,53.1515902642711
"53","Jean Cione","Muskegon Belles",1953,96,388,356,41,27,87,70,15,2,0,4,32,34,0.244,0.307,0.298,0.604,106,0.458282396232951,28.6497260371233
"54","Marjorie Pieper","Muskegon Belles",1953,92,355,314,38,26,72,57,8,4,3,10,41,26,0.229,0.318,0.309,0.627,97,0.582007083734807,35.6656507924303
"55","Kathryn Vonderau","Muskegon Belles",1953,101,354,321,29,21,65,59,6,0,0,3,33,21,0.202,0.277,0.221,0.498,71,0.456351165185893,25.9920516374433
"56","Betty McKenna","Muskegon Belles",1953,94,341,293,28,31,63,54,8,1,0,16,48,38,0.215,0.326,0.249,0.575,73,0.539692243768497,31.1537367244997
"57","Nancy Cato","Muskegon Belles",1953,104,405,337,12,58,53,45,4,3,1,39,68,66,0.157,0.299,0.196,0.495,66,0.582695711942009,40.7490035069846
"58","Barbara Sowers","Muskegon Belles",1953,70,187,166,15,16,34,29,3,1,1,5,21,28,0.205,0.294,0.253,0.547,42,0.53647603138406,16.9548715032636
"59","Chris Ballingall","Muskegon Belles",1953,72,218,188,13,14,34,29,3,1,1,4,30,52,0.181,0.294,0.223,0.517,42,0.493002323445926,17.7259437892154
"60","Josephine Hasham","Muskegon Belles",1953,62,119,112,13,6,27,23,3,0,1,1,7,5,0.241,0.286,0.295,0.58,33,0.556610466037072,11.3051127806213
"61","Marilyn Doxey","Muskegon Belles",1953,37,101,87,3,7,17,16,1,0,0,0,14,12,0.195,0.307,0.207,0.514,18,0.476711387059311,7.85837091685564
"62","Phyllis Wise","Muskegon Belles",1953,30,79,79,3,1,14,14,0,0,0,0,0,12,0.177,0.177,0.177,0.354,14,0.395471532593023,4.7654226470458
"63","Noella Alverson","Muskegon Belles",1953,59,95,90,4,12,13,12,1,0,0,1,5,16,0.144,0.189,0.156,0.345,14,0.337557936848853,4.54651621122934
"64","Ruth Gentry","Muskegon Belles",1953,36,79,72,2,9,9,9,0,0,0,2,7,9,0.125,0.203,0.125,0.328,9,0.380481930925256,4.51057240899285
"65","Nancy Warren","Muskegon Belles",1953,27,72,66,2,4,5,5,0,0,0,0,6,11,0.076,0.153,0.076,0.229,5,0.235907302057786,1.87067229249714
"66","Mirtha Fernandez","Muskegon Belles",1953,10,13,11,1,2,2,2,0,0,0,1,2,5,0.182,0.308,0.182,0.49,2,0.614862933184305,1.39798902668546
"67","Eleanor Callow","Rockford Peaches",1953,100,425,386,58,58,117,82,23,4,8,37,39,19,0.303,0.367,0.446,0.813,172,0.790456354595119,61.7642081721606
"68","Margaret Alice Deschaine","Rockford Peaches",1953,88,343,314,39,39,99,80,14,5,0,16,29,9,0.315,0.373,0.392,0.765,123,0.640418155321689,38.7718368910735
"69","Joan Knebl","Rockford Peaches",1953,103,412,368,28,56,91,79,8,3,1,31,44,16,0.247,0.328,0.293,0.621,108,0.658340919744749,48.1605881956317
"70","Ruth Richard","Rockford Peaches",1953,92,356,341,48,33,86,73,11,0,2,7,15,9,0.252,0.284,0.302,0.586,103,0.550172320828726,33.327074296538
"71","Dorothy Key","Rockford Peaches",1953,101,443,400,21,56,83,74,8,1,0,29,43,30,0.208,0.284,0.232,0.517,93,0.551804131280085,41.6271876489232
"72","Jacquelyn Savage","Rockford Peaches",1953,69,231,219,22,13,56,44,9,2,1,6,12,29,0.256,0.294,0.329,0.623,72,0.521471367951633,20.1983092510467
"73","Dorothy Kamenshek","Rockford Peaches",1953,55,215,188,18,34,55,49,5,1,0,15,27,7,0.293,0.381,0.33,0.711,62,0.71794462300904,27.8902524444729
"74","Rose Gacioch","Rockford Peaches",1953,75,191,179,18,13,51,39,4,6,2,1,12,10,0.285,0.33,0.408,0.738,73,0.62887706002364,21.1157443353265
"75","Sarah Jane Ferguson","Rockford Peaches",1953,76,238,234,15,23,50,49,1,0,0,4,4,39,0.214,0.227,0.218,0.445,51,0.497597982662439,19.5875696712593
"76","Carol Habben","Rockford Peaches",1953,82,256,242,18,18,47,41,5,1,0,5,14,41,0.194,0.238,0.223,0.461,54,0.421889038051516,16.897840093759
"77","Marie Kelley","Rockford Peaches",1953,53,137,124,11,11,22,18,3,1,0,1,13,30,0.177,0.255,0.218,0.473,27,0.377117401340207,7.72293164634904
"78","Dolores Dries","Rockford Peaches",1953,48,150,145,2,13,22,20,0,2,0,8,5,18,0.152,0.18,0.179,0.359,26,0.424554492003265,9.98712410408269
"79","Janet Sears","Rockford Peaches",1953,33,105,102,5,5,21,20,1,0,0,3,3,15,0.206,0.229,0.216,0.444,22,0.48717541693024,8.40605268064265
"80","Helen Nordquist","Rockford Peaches",1953,21,45,43,0,2,5,5,0,0,0,1,2,6,0.116,0.156,0.116,0.272,5,0.326399693752524,2.04555014800525
"81","Migdalia Jinright","Rockford Peaches",1953,34,78,71,1,6,5,5,0,0,0,0,7,4,0.07,0.154,0.07,0.224,5,0.230212250907432,1.93096116599371
"82","Sue Zipay","Rockford Peaches",1953,19,51,51,3,3,4,3,1,0,0,0,0,12,0.078,0.078,0.098,0.176,5,0.108626879685557,-0.0719508752530723
"83","Virginia Manina","Rockford Peaches",1953,11,29,27,0,1,2,2,0,0,0,0,2,8,0.074,0.138,0.074,0.212,2,0.220884081731607,0.659702790202519
"84","Gertrude Dunn","South Bend Blue Sox",1953,112,471,438,36,46,122,104,17,1,0,26,33,13,0.279,0.329,0.322,0.651,141,0.608341185797212,49.989139758692
"85","Jean Faut","South Bend Blue Sox",1953,98,365,316,28,33,87,71,11,1,4,17,49,10,0.275,0.373,0.354,0.727,112,0.71512237065561,47.1268727613089
"86","Elizabeth Wagoner","South Bend Blue Sox",1953,107,415,352,32,42,84,73,9,2,0,19,63,5,0.239,0.354,0.276,0.63,97,0.591226366471712,42.517052334354
"87","Mary O'Meara","South Bend Blue Sox",1953,111,421,375,26,50,78,70,8,0,0,32,46,49,0.208,0.295,0.229,0.524,86,0.575895491174415,41.7427098133469
"88","Amy Irene Applegren","South Bend Blue Sox",1953,76,298,277,24,24,67,61,5,1,0,24,21,17,0.242,0.295,0.267,0.562,74,0.636234916817831,33.4168675291611
"89","Marguerite Tesseine","South Bend Blue Sox",1953,90,366,297,29,38,55,46,8,1,0,11,69,25,0.185,0.339,0.219,0.558,65,0.488088163099039,29.3729929611143
"90","Mary Baumgartner","South Bend Blue Sox",1953,90,300,262,22,26,49,41,8,0,0,6,38,48,0.187,0.29,0.218,0.508,57,0.428963326335419,20.2588993267991
"91","Veronica Josephine Lenard","South Bend Blue Sox",1953,66,232,193,15,24,37,32,5,0,0,19,39,16,0.192,0.328,0.218,0.545,42,0.576201948390889,23.0184097029705
"92","Glenna Sue Kidd","South Bend Blue Sox",1953,66,210,198,17,17,37,33,4,0,0,1,12,16,0.187,0.233,0.207,0.44,41,0.391740941432073,12.498976377042
"93","Donna Cook","South Bend Blue Sox",1953,53,145,131,10,12,26,24,2,0,0,6,14,5,0.198,0.276,0.214,0.49,28,0.512905147148111,12.4112762804492
"94","Joanne Ogden","South Bend Blue Sox",1953,42,91,87,5,11,22,20,2,0,0,6,4,9,0.253,0.286,0.276,0.562,24,0.612446051212398,9.73859011448464
"95","Lois Youngen","South Bend Blue Sox",1953,40,120,101,9,10,19,18,1,0,0,1,19,7,0.188,0.317,0.198,0.515,20,0.492122980768697,9.73469076740485
"96","Margaret Wenzell","South Bend Blue Sox",1953,45,123,96,10,14,17,11,5,1,0,21,27,13,0.177,0.358,0.25,0.608,24,0.642952656418132,13.9706945004496
"97","Joanna Matuzewski","South Bend Blue Sox",1953,28,114,99,2,15,16,13,2,1,0,3,15,14,0.162,0.272,0.202,0.474,20,0.410346961072486,7.24164326340902
"98","Janet Rumsey","South Bend Blue Sox",1953,36,92,83,5,5,12,12,0,0,0,0,9,12,0.145,0.228,0.145,0.373,12,0.38608848645046,5.36382587205363
"99","Ann Hosted","South Bend Blue Sox",1953,21,78,65,7,5,10,10,0,0,0,1,13,13,0.154,0.295,0.154,0.449,10,0.468326424104098,5.92808597738599
