"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"1","Betty Foss","Fort Wayne Daisies",1953,110,477,449,65,99,144,111,20,8,5,80,28,35,0.321,0.361,0.434,0.795,195,0.911386068023899,81.735455711646
"2","Joanne Weaver","Fort Wayne Daisies",1953,104,433,410,76,79,142,113,18,6,5,70,23,26,0.346,0.381,0.456,0.837,187,0.968308040522684,79.5003098741341
"3","Jean Harding","Fort Wayne Daisies",1953,105,427,397,81,50,117,78,21,10,8,28,30,47,0.295,0.344,0.458,0.803,182,0.727825994122521,56.2993952306254
"4","Wilma Briggs","Fort Wayne Daisies",1953,109,463,404,59,75,104,76,14,5,9,33,59,32,0.257,0.352,0.384,0.736,155,0.770534470612181,65.3015693342324
"5","Catherine Horstman","Fort Wayne Daisies",1953,94,366,329,46,47,96,73,12,7,4,14,37,13,0.292,0.363,0.407,0.771,134,0.689602042842433,45.2458063400188
"6","Delores White","Fort Wayne Daisies",1953,66,262,211,26,48,70,52,13,3,2,11,51,15,0.332,0.462,0.45,0.912,95,0.726125445942797,34.4484729646928
"7","Jean Havlish","Fort Wayne Daisies",1953,104,413,344,22,35,65,61,4,0,0,14,69,35,0.189,0.324,0.201,0.525,69,0.534500572966231,37.2702013764072
"8","Rita Briggs","Fort Wayne Daisies",1953,80,279,234,22,28,54,48,6,0,0,19,45,6,0.231,0.355,0.256,0.611,60,0.623859725945247,30.5432017335406
"9","Lavonne Davis","Fort Wayne Daisies",1953,60,179,160,24,14,42,36,6,0,0,2,19,7,0.262,0.341,0.3,0.641,48,0.530932736651998,16.015984675217
"10","Mary Taylor","Fort Wayne Daisies",1953,46,172,160,19,30,38,30,4,0,4,9,12,25,0.238,0.291,0.338,0.628,54,0.745492097624073,23.3319152904556
"11","Alice Blaski","Fort Wayne Daisies",1953,47,186,162,14,33,32,27,1,2,2,22,24,16,0.198,0.301,0.265,0.567,43,0.746266515833349,25.2620242938793
"12","Patricia Scott","Fort Wayne Daisies",1953,37,100,98,13,14,26,20,5,1,0,0,2,4,0.265,0.28,0.337,0.617,33,0.415475604515888,6.46269356327663
"13","Shirley Crites","Fort Wayne Daisies",1953,47,147,132,11,15,17,13,3,1,0,7,15,17,0.129,0.218,0.167,0.384,22,0.353571941384195,7.54175889083663
"14","Jean Weaver","Fort Wayne Daisies",1953,30,49,48,5,11,15,12,2,1,0,2,1,3,0.312,0.327,0.396,0.722,19,0.599248304529132,5.10468041480263
"15","Maxine Randall","Fort Wayne Daisies",1953,37,99,90,6,8,14,10,4,0,0,1,9,1,0.156,0.232,0.2,0.432,18,0.283084372683096,3.57733168915785
"16","Jaynne Bittner","Fort Wayne Daisies",1953,30,82,74,4,5,12,11,1,0,0,1,8,22,0.162,0.244,0.176,0.42,13,0.399391513487917,5.01556569144069
"17","Dolly Ozburn","Fort Wayne Daisies",1953,14,15,12,0,3,0,0,0,0,0,0,3,3,0,0.2,0,0.2,0,0.19424596452382,0.25523267133322
"18","Joyce Ricketts","Grand Rapids Chicks",1953,114,460,417,71,48,120,91,19,5,5,12,43,18,0.288,0.354,0.393,0.748,164,0.642663671691188,52.2195169120636
"19","Doris Satterfield","Grand Rapids Chicks",1953,112,451,404,79,58,119,99,16,4,0,40,47,30,0.295,0.368,0.354,0.722,143,0.69754053684476,56.5242297127828
"20","Inez Voyce","Grand Rapids Chicks",1953,112,458,383,60,55,103,82,11,4,6,22,75,20,0.269,0.389,0.366,0.754,140,0.744488008814965,62.0290365625759
"21","Jean Smith","Grand Rapids Chicks",1953,114,472,401,23,86,91,65,20,5,1,73,71,27,0.227,0.343,0.309,0.652,124,0.679094906157546,57.2824640392701
"22","Marilyn Olinger","Grand Rapids Chicks",1953,99,419,365,20,67,88,82,6,0,0,56,54,16,0.241,0.339,0.258,0.596,94,0.757547545180346,57.9247201533961
"23","Betty Decker","Grand Rapids Chicks",1953,85,333,306,35,49,76,62,10,1,3,48,27,39,0.248,0.309,0.317,0.626,97,0.780629974405945,47.6898580720972
"24","Marilyn Jenkins","Grand Rapids Chicks",1953,69,225,203,13,17,42,36,4,2,0,9,22,25,0.207,0.284,0.246,0.531,50,0.501635117564463,18.7131499954252
"25","Alma Ziegler","Grand Rapids Chicks",1953,96,305,250,18,37,42,38,4,0,0,17,55,23,0.168,0.318,0.184,0.502,46,0.526517059228435,26.9999618066126
"26","Magdalen Redman","Grand Rapids Chicks",1953,70,232,199,19,13,37,33,4,0,0,1,33,15,0.186,0.302,0.206,0.508,41,0.44250613782645,16.3430658163784
"27","Dolores Moore","Grand Rapids Chicks",1953,56,169,156,18,11,31,28,3,0,0,4,13,20,0.199,0.26,0.218,0.478,34,0.461517261644679,12.5965306226304
"28","Eleanor Warner","Grand Rapids Chicks",1953,41,98,91,13,13,21,18,2,1,0,0,7,18,0.231,0.286,0.275,0.56,25,0.463315535818557,7.34242416545955
"29","Dorothy Mueller","Grand Rapids Chicks",1953,41,88,81,8,5,17,14,3,0,0,0,7,7,0.21,0.273,0.247,0.52,20,0.392914410939431,5.25989029710851
"30","Earlene Risinger","Grand Rapids Chicks",1953,30,84,79,8,8,16,15,1,0,0,1,5,8,0.203,0.25,0.215,0.465,17,0.461461572477484,6.25999072797279
"31","Mary Lou Caden","Grand Rapids Chicks",1953,30,64,64,3,1,8,8,0,0,0,0,0,9,0.125,0.125,0.125,0.25,8,0.27894867031115,2.25565490729553
"32","Annie Gosbee","Grand Rapids Chicks",1953,18,36,33,0,5,3,3,0,0,0,0,3,6,0.091,0.167,0.091,0.258,3,0.266901598759025,1.17546931241256
"33","Jane Stoll","Kalamazoo Lassies",1953,110,443,396,65,37,122,101,18,0,3,14,47,20,0.308,0.381,0.376,0.758,149,0.682715516307948,54.1081767543691
"34","June Peppas","Kalamazoo Lassies",1953,108,454,417,33,46,113,100,10,3,0,10,37,19,0.271,0.33,0.309,0.64,129,0.585163357015069,45.9202349630018
"35","Dorothy Schroeder","Kalamazoo Lassies",1953,110,469,389,39,76,111,93,12,0,6,10,80,54,0.285,0.407,0.362,0.77,141,0.740264791223291,63.0925475134865
"36","Fern Shollenberger","Kalamazoo Lassies",1953,107,422,388,23,42,75,60,12,3,0,6,34,15,0.193,0.258,0.24,0.498,93,0.390585276364195,25.0120334095982
"37","Jenny Romatowski","Kalamazoo Lassies",1953,80,274,263,21,19,57,53,3,1,0,6,11,6,0.217,0.248,0.236,0.484,62,0.495496900844485,22.4264981655282
