"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"30","Mildred Earp","Grand Rapids Chicks",1948,35,105,94,9,7,11,7,3,1,0,0,11,13,0.117,0.21,0.17,0.38,16,0.208650496932151,2.37276781609265
"31","Dorothy Mueller","Peoria Redwings",1948,35,112,102,8,7,18,15,1,2,0,1,10,15,0.176,0.25,0.225,0.475,23,0.374122969104938,6.82518887587737
"32","Marie Wegman","Fort Wayne Daisies",1948,36,99,86,1,3,8,7,0,1,0,2,13,24,0.093,0.212,0.116,0.328,10,0.301811489958925,4.37421536350022
"33","Alice Meyer","South Bend Blue Sox",1948,37,97,90,13,6,19,17,0,2,0,9,7,15,0.211,0.268,0.256,0.524,23,0.579484337676613,10.5267489522037
"34","Margaret Silvestri","Rockford Peaches",1948,38,98,93,9,4,10,8,0,2,0,1,5,13,0.108,0.153,0.151,0.304,14,0.244437879293942,3.02722329233661
"35","Elaine Roth","Peoria Redwings",1948,39,110,104,3,11,16,16,0,0,0,3,6,22,0.154,0.2,0.154,0.354,16,0.390905894744793,7.13107283677848
"36","Joanne Winter","Racine Belles",1948,39,123,100,6,8,12,10,1,0,1,3,23,23,0.12,0.285,0.16,0.445,16,0.439865182450705,9.36918351755967
"37","Irene Kotowicz","Racine Belles",1948,39,112,106,7,4,9,8,0,1,0,0,6,14,0.085,0.134,0.104,0.238,11,0.202574502633785,2.37327199080673
"38","Lois Florreich","Rockford Peaches",1948,41,119,106,1,5,10,8,2,0,0,1,13,24,0.094,0.193,0.113,0.306,12,0.232254054328607,3.3399654272734
"39","June Emerson","Springfield Sallies",1948,47,126,110,5,8,20,19,1,0,0,6,16,10,0.182,0.286,0.191,0.477,21,0.488807433899709,11.0265832041957
"40","Eulah Elizabeth Tucker","Chicago Colleens",1948,48,96,86,5,15,18,17,1,0,0,11,10,19,0.209,0.292,0.221,0.513,19,0.618797600780548,11.2927110619263
"41","Magdalen Redman","Kenosha Comets",1948,49,130,121,4,6,12,11,1,0,0,3,9,26,0.099,0.162,0.107,0.269,13,0.263613360127733,4.59331050596969
"42","Amy Irene Applegren","Muskegon Lassies",1948,49,148,133,8,13,23,22,1,0,0,8,15,14,0.173,0.257,0.18,0.437,24,0.471992656668491,12.3752325777932
"43","Dorice Reid","Chicago Colleens",1948,50,127,115,4,3,16,14,1,1,0,6,12,36,0.139,0.22,0.165,0.386,19,0.380408728561481,7.92424767976728
"44","Jean Faut","South Bend Blue Sox",1948,50,116,104,7,6,24,22,2,0,0,1,12,10,0.231,0.31,0.25,0.56,26,0.480639496168502,9.93191809270476
"45","Gloria Ruiz","Peoria Redwings",1948,52,145,126,8,8,12,12,0,0,0,10,19,26,0.095,0.214,0.095,0.309,12,0.391432989302791,9.41775974847024
"46","Jean Dowler","Rockford Peaches",1948,52,155,151,8,6,33,32,1,0,0,3,4,19,0.219,0.239,0.225,0.464,34,0.472815234379053,12.9900903754111
"47","Jaynie Krick","South Bend Blue Sox",1948,52,146,131,9,13,25,23,2,0,0,1,15,26,0.191,0.274,0.206,0.48,27,0.414610648637051,10.2667974703499
"48","Sarah Lonetto","Muskegon Lassies",1948,53,127,109,4,21,20,16,2,1,1,4,18,14,0.183,0.299,0.248,0.547,27,0.497050076831291,11.3566519762855
"49","Jacquelyn Savage","Chicago Colleens",1948,54,156,145,6,7,20,17,1,2,0,5,11,27,0.138,0.199,0.172,0.371,25,0.338766121454927,8.22848521931113
"50","Helen Candaele","Fort Wayne Daisies",1948,54,201,178,13,21,34,27,3,4,0,36,23,27,0.191,0.284,0.253,0.536,45,0.643552070569712,24.7970144014001
"51","Lorraine Stevens","Grand Rapids Chicks",1948,54,157,143,7,18,23,22,1,0,0,4,14,11,0.161,0.236,0.168,0.404,24,0.401621683359737,10.5678074439359
"52","Ruby Heafner","Fort Wayne Daisies",1948,59,171,156,8,9,25,24,1,0,0,3,15,33,0.16,0.234,0.167,0.401,26,0.389634897077185,11.0352171743489
"53","Jean Cione","Kenosha Comets",1948,60,193,173,14,14,29,21,3,4,1,5,20,55,0.168,0.254,0.249,0.502,43,0.402991598592911,13.0522612443929
"54","Lee Delmonico","Fort Wayne Daisies",1948,63,249,226,20,33,42,35,2,5,0,16,23,34,0.186,0.261,0.239,0.5,54,0.474744035123924,20.9792346538166
"55","Marie Eileen Lockhart","Chicago Colleens",1948,65,161,142,4,9,20,17,3,0,0,9,19,24,0.141,0.242,0.162,0.404,23,0.387758128427721,10.3198698183094
"56","Lillian Faralla","South Bend Blue Sox",1948,66,183,169,16,5,38,35,3,0,0,2,14,23,0.225,0.284,0.243,0.527,41,0.463965256366561,14.9614245882341
"57","Wilma Briggs","Fort Wayne Daisies",1948,67,235,193,15,14,44,38,0,6,0,2,42,19,0.228,0.366,0.29,0.656,56,0.526657543540777,22.6264489920336
"58","Betty Warfel","Rockford Peaches",1948,70,214,193,15,16,32,28,3,0,1,10,21,37,0.166,0.248,0.197,0.445,38,0.456938647854215,17.1474546538156
"59","Terry Donahue","Peoria Redwings",1948,71,206,174,18,17,17,15,1,1,0,7,32,31,0.098,0.238,0.115,0.353,20,0.339324710763666,10.8924827964694
"60","Doris Barr","Springfield Sallies",1948,73,202,174,10,14,40,31,4,5,0,6,28,20,0.23,0.337,0.31,0.647,54,0.482871772305116,17.3997186771519
"61","Barbara Barbaze","Springfield Sallies",1948,80,247,223,16,19,43,41,2,0,0,23,24,29,0.193,0.271,0.202,0.473,45,0.560328155228186,25.7088795357719
"62","Alice McNaughton","Kenosha Comets",1948,81,271,243,17,10,35,29,4,1,1,2,28,30,0.144,0.232,0.181,0.414,44,0.346853328501072,14.8021760101674
"63","Marguerite Tesseine","Muskegon Lassies",1948,82,256,233,12,15,35,30,3,2,0,10,23,54,0.15,0.227,0.18,0.407,42,0.374396363879695,15.6166487851256
"64","Julie Gutz","Springfield Sallies",1948,83,237,223,8,11,34,31,0,3,0,4,14,35,0.152,0.203,0.179,0.382,40,0.358075661359722,13.5613501973561
"65","Mary Rountree","Fort Wayne Daisies",1948,84,291,251,18,19,41,38,3,0,0,20,40,20,0.163,0.278,0.175,0.454,44,0.484948521296561,25.2059607468662
"66","Delores White","Kenosha Comets",1948,86,289,261,17,18,37,34,3,0,0,18,28,60,0.142,0.225,0.153,0.378,40,0.411955070580098,20.1448057767317
"67","Mildred Meacham","Springfield Sallies",1948,95,317,285,10,26,52,45,4,3,0,24,32,37,0.182,0.265,0.218,0.483,62,0.489969353041002,27.8268279973911
"68","Betty Hill","Chicago Colleens",1948,97,285,257,26,22,61,47,7,6,1,24,28,32,0.237,0.312,0.323,0.635,83,0.575435498985181,30.6617347643572
"69","Irene Hickson","Racine Belles",1948,97,338,287,16,37,47,39,3,5,0,23,51,48,0.164,0.29,0.209,0.499,60,0.476360448326257,28.6044300595682
"70","Helen Steffes","South Bend Blue Sox",1948,101,372,324,29,29,58,56,1,1,0,18,48,29,0.179,0.285,0.188,0.473,61,0.498752040849517,33.4118556393874
"71","Margaret Stefani","Rockford Peaches",1948,103,369,317,25,30,62,52,6,4,0,8,52,18,0.196,0.309,0.24,0.549,76,0.441265709354344,28.2272962746986
"72","Dorothy Parker","Kenosha Comets",1948,104,350,311,9,23,54,52,2,0,0,31,39,16,0.174,0.266,0.18,0.446,56,0.532939049894696,34.2083842862051
"73","Margaret Wenzell","Springfield Sallies",1948,104,401,346,19,30,58,50,3,4,1,33,55,39,0.168,0.282,0.208,0.49,72,0.52555291689587,38.5067508726014
"74","Alva Jo Fischer","Muskegon Lassies",1948,107,379,353,36,31,89,78,10,1,0,14,26,26,0.252,0.303,0.286,0.59,101,0.516459541142998,35.5956029254967
"75","Betsy Jochum","South Bend Blue Sox",1948,107,355,339,33,25,66,59,2,4,1,23,16,24,0.195,0.231,0.233,0.464,79,0.50858271269881,32.6936070024731
"76","Sara Reeser","Muskegon Lassies",1948,110,427,372,28,42,83,76,6,1,0,30,55,32,0.223,0.323,0.245,0.568,91,0.575260987564064,45.9215435427944
"77","Ruth Richard","Rockford Peaches",1948,110,388,363,35,30,61,46,9,5,1,11,25,24,0.168,0.222,0.229,0.45,83,0.353638278257257,21.8027703188
"78","Edythe Keating","Racine Belles",1948,111,454,415,51,55,101,85,11,3,2,82,39,28,0.243,0.308,0.299,0.607,124,0.751352654865735,67.3493360354513
"79","Margaret Maxwell","Fort Wayne Daisies",1948,112,440,391,27,44,73,68,2,3,0,42,49,72,0.187,0.277,0.207,0.484,81,0.561398629668327,45.9063311016081
"80","Charlene Mayer","Muskegon Lassies",1948,112,462,406,29,70,107,98,5,3,1,58,56,41,0.264,0.353,0.298,0.651,121,0.747107878489086,68.0817077929098
"81","Senaida Mylott","South Bend Blue Sox",1948,113,441,399,26,60,96,86,6,4,0,36,42,37,0.241,0.313,0.276,0.589,110,0.60219076143808,50.1789464716778
"82","Lavonne Davis","Grand Rapids Chicks",1948,114,411,377,27,24,70,58,8,4,0,2,34,36,0.186,0.253,0.228,0.481,86,0.360178358435767,23.7180290753349
"83","Philomena Zale","Racine Belles",1948,114,445,398,35,34,81,64,11,2,4,45,47,36,0.204,0.288,0.271,0.559,108,0.602484212803883,50.6643421766528
"84","Merle Keagle","Grand Rapids Chicks",1948,116,484,423,27,75,106,83,11,9,3,85,61,41,0.251,0.345,0.34,0.685,144,0.774132242463416,74.3543944302346
"85","Eleanor Wolf","Racine Belles",1948,116,454,411,46,39,83,68,5,6,4,18,43,57,0.202,0.278,0.273,0.55,112,0.533451292854037,44.4270470941178
"86","Dorothy Doyle","Rockford Peaches",1948,116,462,414,58,52,104,87,9,7,1,45,48,21,0.251,0.329,0.314,0.643,130,0.637368179016884,56.3341408909303
"87","Margaret Alice Deschaine","Rockford Peaches",1948,116,398,376,31,33,71,63,4,4,0,12,22,45,0.189,0.234,0.221,0.454,83,0.418612459847228,28.3566183343042
"88","Jane Stoll","Springfield Sallies",1948,116,472,413,18,61,79,68,8,3,0,55,59,33,0.191,0.292,0.225,0.518,93,0.569427907824775,50.1231071496059
"89","Genevieve Audrey Wagner","Kenosha Comets",1948,117,473,417,56,70,130,96,16,14,4,53,56,31,0.312,0.393,0.446,0.839,186,0.755420455601799,70.6137441234122
"90","Christine Beckett","Kenosha Comets",1948,117,457,430,35,46,93,79,7,4,3,51,27,50,0.216,0.263,0.272,0.535,117,0.626702807153269,54.5950988779156
"91","Doris Sams","Muskegon Lassies",1948,117,448,409,59,57,105,89,6,7,3,23,39,41,0.257,0.321,0.328,0.649,134,0.624604215613528,53.3020766150018
"92","Elizabeth Mahon","South Bend Blue Sox",1948,117,470,422,65,59,109,91,12,4,2,38,48,26,0.258,0.334,0.32,0.654,135,0.630660064827194,56.5790897553643
"93","Evelyn Moroz","Springfield Sallies",1948,118,467,435,30,58,114,106,4,4,0,66,32,39,0.262,0.313,0.29,0.602,126,0.737433512751934,67.7716797788532
"94","Margaret Cryan","Kenosha Comets",1948,119,476,405,31,54,77,62,6,8,1,36,71,40,0.19,0.311,0.252,0.563,102,0.533686960001833,46.6058921042988
"95","Mary Reynolds","Peoria Redwings",1948,119,457,390,43,42,83,72,7,4,0,11,67,60,0.213,0.328,0.251,0.58,98,0.483946930276665,39.4785594550487
"96","Pauline Pirok","South Bend Blue Sox",1948,119,445,413,19,37,90,81,5,4,0,16,32,51,0.218,0.274,0.249,0.524,103,0.489355403226325,38.9995927757172
"97","Veronica Josephine Lenard","Muskegon Lassies",1948,120,471,421,56,70,89,73,10,6,0,64,50,57,0.211,0.295,0.264,0.559,111,0.603445676869122,53.7294351378586
"98","Thelma Eisen","Fort Wayne Daisies",1948,121,493,464,30,67,102,92,5,4,1,88,29,25,0.22,0.266,0.254,0.52,118,0.716636927103821,69.1691925862236
"99","Dorothy Stolze","Muskegon Lassies",1948,121,493,467,29,62,113,108,2,3,0,67,26,29,0.242,0.282,0.259,0.541,121,0.7019066896813,67.486522976697
"100","Alice DeCambra","Peoria Redwings",1948,121,441,392,30,46,74,65,8,1,0,34,49,26,0.189,0.279,0.214,0.493,84,0.501535373230367,39.8936266041184
"101","Madeline English","Racine Belles",1948,121,449,400,24,41,64,54,4,6,0,60,49,72,0.16,0.252,0.2,0.452,80,0.54449107337923,45.0863099467285
"102","Rose Gacioch","Rockford Peaches",1948,121,465,426,44,41,102,87,11,3,1,18,39,28,0.239,0.303,0.286,0.59,122,0.519593038629264,44.0103225777386
"103","Faye Dancer","Peoria Redwings",1948,122,514,459,34,89,109,91,10,2,6,102,55,79,0.237,0.319,0.307,0.626,141,0.846229923574726,87.5498440293567
"104","Rita Moellering","Peoria Redwings",1948,122,488,457,68,49,106,91,12,1,2,45,31,32,0.232,0.281,0.276,0.556,126,0.592857328182533,54.4714492377985
"105","Mary Carey","Peoria Redwings",1948,122,478,428,29,49,76,67,6,3,0,37,50,53,0.178,0.264,0.206,0.469,88,0.489919768952933,41.9542047046576
"106","Doris Neal","Springfield Sallies",1948,122,453,406,28,27,62,51,5,6,0,23,47,62,0.153,0.241,0.195,0.435,79,0.399167814020166,30.2342586240329
"107","Elizabeth Bretting","Kenosha Comets",1948,123,513,445,15,68,85,77,5,3,0,43,68,58,0.191,0.298,0.216,0.514,96,0.547887475299617,51.9165848541053
"108","Dorothy Key","Rockford Peaches",1948,123,495,419,16,73,64,58,6,0,0,73,76,62,0.153,0.283,0.167,0.45,70,0.585824523864656,54.4461691192512
"109","Connie Wisniewski","Grand Rapids Chicks",1948,124,507,439,66,70,127,98,20,2,7,60,68,30,0.289,0.385,0.392,0.776,172,0.784651521815631,79.1235301020768
"110","Dorothy Maguire","Muskegon Lassies",1948,124,429,373,30,40,58,54,3,0,1,47,56,58,0.155,0.266,0.172,0.437,64,0.55432882110972,44.0559126675102
"111","Sophie Kurys","Racine Belles",1948,124,525,444,22,97,112,92,12,5,3,172,81,21,0.252,0.368,0.322,0.69,143,1.02059723997715,110.634743927454
"112","Dorothy Kamenshek","Rockford Peaches",1948,124,520,448,35,89,128,113,8,5,2,94,72,14,0.286,0.385,0.339,0.724,152,0.867730024376873,91.1623411272553
"113","Dorothy Schroeder","Fort Wayne Daisies",1948,125,475,418,43,40,71,63,5,3,0,30,57,69,0.17,0.269,0.196,0.466,82,0.469381208434179,39.4303871069953
"114","Doris Satterfield","Grand Rapids Chicks",1948,125,482,452,61,45,111,94,10,6,1,40,30,22,0.246,0.293,0.301,0.593,136,0.588373685955712,53.3009692086604
"115","Ruth Lessing","Grand Rapids Chicks",1948,125,473,417,36,43,86,77,7,2,0,22,56,33,0.206,0.3,0.233,0.533,97,0.49986534944963,42.605370670797
"116","Margaret Brown","Racine Belles",1948,125,422,390,38,24,65,49,10,6,0,9,32,48,0.167,0.23,0.223,0.453,87,0.324975358112102,20.910632320599
"117","June Schofield","Springfield Sallies",1948,125,486,440,49,40,104,81,12,9,2,29,46,44,0.236,0.309,0.318,0.627,140,0.543371145424076,48.675547360836
"118","Charlene Barnett","Chicago Colleens",1948,126,515,448,19,48,74,61,7,5,1,29,67,59,0.165,0.274,0.21,0.484,94,0.456072168290073,41.1626738266186
"119","Vivian Kellogg","Fort Wayne Daisies",1948,126,511,472,43,52,117,99,9,9,0,19,39,39,0.248,0.305,0.305,0.61,144,0.518572352882848,48.2431795481898
"120","Inez Voyce","Grand Rapids Chicks",1948,126,502,436,52,46,99,87,9,2,1,31,66,29,0.227,0.329,0.264,0.592,115,0.570891170571306,53.4791012530433
"121","Alma Ziegler","Grand Rapids Chicks",1948,126,515,454,33,61,77,68,8,0,1,38,61,44,0.17,0.268,0.194,0.462,88,0.490682722838888,45.292749145339
"122","Mary Wisham","Peoria Redwings",1948,126,520,438,58,69,128,89,24,12,3,64,82,41,0.292,0.404,0.422,0.826,185,0.698525240508598,70.7751137743048
"123","Betty Trezza","Racine Belles",1948,126,513,469,27,67,85,76,4,4,1,64,44,55,0.181,0.251,0.213,0.465,100,0.583534235033095,56.1537911501837
"124","Mary Baker","South Bend Blue Sox",1948,126,524,468,29,62,109,102,3,4,0,56,56,33,0.233,0.315,0.256,0.571,120,0.65661767215808,66.2313171028921
"125","Fern Shollenberger","Kenosha Comets",1948,127,499,466,17,47,98,89,5,4,0,24,33,44,0.21,0.263,0.238,0.501,111,0.495076995594789,44.3936730143111
