"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"1","Frances Janssen","Grand Rapids Chicks",1948,11,22,20,4,2,5,5,0,0,0,0,2,4,0.25,0.318,0.25,0.568,5,0.553079758959864,2.25291036650239
"2","Dorothy Healy","Chicago Colleens",1948,12,45,41,7,2,5,4,1,0,0,0,4,2,0.122,0.2,0.146,0.346,6,0.240591658743309,1.34994740179853
"3","Norma Metrolis","South Bend Blue Sox",1948,12,28,25,2,2,4,4,0,0,0,2,3,1,0.16,0.25,0.16,0.41,4,0.49807982588921,2.51050963061305
"4","Anna Mae Hutchison","Racine Belles",1948,14,22,21,3,0,4,4,0,0,0,0,1,0,0.19,0.227,0.19,0.418,4,0.417861476335306,1.56362305899082
"5","Genevieve McFaul","Muskegon Lassies",1948,15,13,13,2,1,2,2,0,0,0,0,0,4,0.154,0.154,0.154,0.308,2,0.318879500596741,0.625804383221376
"6","Eilaine Roth","Peoria Redwings",1948,16,18,17,2,5,4,3,1,0,0,4,1,0,0.235,0.278,0.294,0.572,5,0.663659718532345,2.30449223073356
"7","June Peppas","Fort Wayne Daisies",1948,20,54,53,9,5,14,10,1,1,2,0,1,8,0.264,0.278,0.434,0.712,23,0.737132741207811,7.83279064535205
"8","Louise Arnold","South Bend Blue Sox",1948,20,26,21,0,1,3,2,0,1,0,0,5,2,0.143,0.308,0.238,0.546,5,0.359613781071138,1.49700934499167
"9","Jaynne Bittner","Muskegon Lassies",1948,21,61,58,0,3,4,3,1,0,0,1,3,14,0.069,0.115,0.086,0.201,5,0.152891447288652,0.590354123479922
"10","Georgette Mooney","Racine Belles",1948,21,41,36,3,8,4,4,0,0,0,3,5,6,0.111,0.22,0.111,0.331,4,0.420121022232193,2.93549059819655
"11","Helen Smith","Grand Rapids Chicks",1948,22,58,52,2,8,10,8,2,0,0,2,6,6,0.192,0.276,0.231,0.507,12,0.393072242706434,3.78913398944749
"12","Dorothy Collins","Fort Wayne Daisies",1948,24,59,48,0,3,5,5,0,0,0,0,11,26,0.104,0.271,0.104,0.375,5,0.343839387658815,3.18141095753325
"13","Maxine Randall","Fort Wayne Daisies",1948,25,63,56,4,3,9,7,1,1,0,0,7,3,0.161,0.254,0.214,0.468,12,0.324525853610387,3.11516776347995
"14","Doreen Allen","Grand Rapids Chicks",1948,25,68,61,2,6,7,7,0,0,0,2,7,8,0.115,0.206,0.115,0.321,7,0.34959893002912,3.75745935468651
"15","Janice O'Hara","Kenosha Comets",1948,25,52,47,2,2,5,5,0,0,0,2,5,6,0.106,0.192,0.106,0.299,5,0.342752361663454,2.79085800912131
"16","Marilyn Doxey","Kenosha Comets",1948,25,55,50,2,4,2,2,0,0,0,0,5,11,0.04,0.127,0.04,0.167,2,0.157379287764817,0.589479426812275
"17","Geraldine Stopper","Racine Belles",1948,28,62,53,2,5,8,8,0,0,0,2,9,9,0.151,0.274,0.151,0.425,8,0.445961531025514,4.81025761342838
"18","Mirtha Fernandez","Chicago Colleens",1948,30,77,73,3,5,17,16,1,0,0,0,4,13,0.233,0.273,0.247,0.519,18,0.463626307662269,6.28919685081832
"19","Annabelle Harmon","Fort Wayne Daisies",1948,30,78,69,1,3,10,10,0,0,0,1,9,6,0.145,0.244,0.145,0.389,10,0.388724263749236,5.01714970997552
"20","Catherine Blumetta","Fort Wayne Daisies",1948,30,85,80,4,7,9,9,0,0,0,2,5,19,0.112,0.165,0.112,0.277,9,0.307223409670763,3.86222847017622
"21","Barbara Rotvig","Kenosha Comets",1948,30,80,72,2,5,8,8,0,0,0,0,8,16,0.111,0.2,0.111,0.311,8,0.297480221774027,3.45443211280286
"22","Bethany Goldsmith","Kenosha Comets",1948,31,93,82,3,7,9,7,2,0,0,3,11,13,0.11,0.215,0.134,0.349,11,0.287209209691406,3.79444830474914
"23","Helen Fox","Rockford Peaches",1948,32,90,88,1,7,11,10,0,1,0,1,2,15,0.125,0.144,0.148,0.292,13,0.274444353402165,3.40585129888383
"24","Jean Malanowski/Marlowe","Springfield Sallies",1948,32,93,83,2,4,9,7,1,1,0,2,10,24,0.108,0.204,0.145,0.349,12,0.280650504159538,3.65311540609887
"25","Alice Haylett","Grand Rapids Chicks",1948,33,105,93,3,7,13,13,0,0,0,0,12,7,0.14,0.238,0.14,0.378,13,0.359717555873925,6.04813944164907
"26","Audrey Daniels","Peoria Redwings",1948,33,84,79,5,8,11,10,1,0,0,1,5,11,0.139,0.19,0.152,0.342,12,0.3052329343986,3.77804882529713
"27","Ruth Heverly","South Bend Blue Sox",1948,33,59,55,4,1,7,7,0,0,0,1,4,9,0.127,0.186,0.127,0.314,7,0.332066355788079,3.02046409455494
"28","Erma Bergmann","Springfield Sallies",1948,34,96,87,6,6,11,10,1,0,0,1,9,17,0.126,0.208,0.138,0.346,12,0.304665711926336,4.30515277393805
"29","Migdalia Jinright","Chicago Colleens",1948,35,90,82,2,6,6,6,0,0,0,2,8,11,0.073,0.156,0.073,0.229,6,0.251134399466253,2.91975075203748
