"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"1","Faye Dancer","Fort Wayne Daisies",1946,110,420,368,43,56,92,75,11,5,1,68,52,22,0.25,0.343,0.315,0.658,116,0.654651295594082,56.7460479209699
"2","Helen Candaele","Fort Wayne Daisies",1946,112,472,399,26,70,85,71,10,3,1,114,73,61,0.213,0.335,0.261,0.595,104,0.7325196870205,73.174631938535
"3","Irene Sanvitis","Fort Wayne Daisies",1946,107,419,389,50,37,75,63,5,6,1,24,30,27,0.193,0.251,0.244,0.495,95,0.434718538520241,33.0353920057818
"4","Margaret Maxwell","Fort Wayne Daisies",1946,111,428,340,11,72,64,58,2,3,1,80,88,52,0.188,0.355,0.221,0.576,75,0.691505931708284,61.8623912762789
"5","Vivian Kellogg","Fort Wayne Daisies",1946,89,342,324,31,25,62,51,6,5,0,8,18,15,0.191,0.234,0.241,0.475,78,0.346330993483331,19.230968238194
"6","Alice DeCambra","Fort Wayne Daisies",1946,101,342,314,11,21,58,56,2,0,0,18,28,11,0.185,0.251,0.191,0.443,60,0.438886769915629,27.3291488333333
"7","Marjorie Pieper","Fort Wayne Daisies",1946,83,307,289,24,22,50,37,8,4,1,14,18,18,0.173,0.221,0.239,0.46,69,0.345301091788851,17.1819972267992
"8","Kathryn Vonderau","Fort Wayne Daisies",1946,98,291,289,30,13,43,39,2,2,0,26,2,28,0.149,0.155,0.17,0.324,49,0.374174242204513,18.4360558432531
"9","Irene Kotowicz","Fort Wayne Daisies",1946,37,136,121,8,12,23,20,3,0,0,9,15,4,0.19,0.279,0.215,0.494,26,0.433130155161578,10.6674395638451
"10","Dorothy Collins","Fort Wayne Daisies",1946,51,139,113,6,13,12,9,2,1,0,34,26,34,0.106,0.273,0.142,0.415,16,0.59158825240626,16.5376617184492
"11","Kathryn Beare","Fort Wayne Daisies",1946,24,51,45,0,1,5,5,0,0,0,0,6,3,0.111,0.216,0.111,0.327,5,0.280164910782955,2.00447262225356
"12","Alice Collins","Fort Wayne Daisies",1946,21,50,45,1,2,3,3,0,0,0,2,5,24,0.067,0.16,0.067,0.227,3,0.247757660528899,1.55062583247046
"13","Merle Keagle","Grand Rapids Chicks",1946,112,456,409,59,69,116,95,15,4,2,107,47,24,0.284,0.357,0.355,0.712,145,0.799092770168498,78.4605642269116
"14","Twila Shively","Grand Rapids Chicks",1946,111,465,409,45,78,101,87,9,4,1,75,56,37,0.247,0.338,0.296,0.633,121,0.669702161940947,64.6164731747439
"15","Ruth Lessing","Grand Rapids Chicks",1946,112,405,367,35,43,79,67,10,1,1,20,38,52,0.215,0.289,0.256,0.545,94,0.451481030225978,33.6683906046031
"16","Philomena Zale","Grand Rapids Chicks",1946,98,380,342,53,34,77,64,9,2,2,21,38,33,0.225,0.303,0.281,0.583,96,0.496199968885344,35.9375279862807
"17","Ernestine Petras","Grand Rapids Chicks",1946,112,386,355,34,38,68,62,5,1,0,53,31,27,0.192,0.256,0.211,0.468,75,0.539561909940126,40.7870334280225
"18","Betty Whiting","Grand Rapids Chicks",1946,112,408,374,24,41,67,58,8,1,0,27,34,34,0.179,0.248,0.206,0.453,77,0.405822208589509,29.151910675044
"19","Alma Ziegler","Grand Rapids Chicks",1946,101,409,344,27,60,52,45,7,0,0,55,65,26,0.151,0.286,0.172,0.458,59,0.499353573072708,39.0101093355522
"20","Connie Wisniewski","Grand Rapids Chicks",1946,55,151,136,16,20,34,28,5,1,0,7,15,11,0.25,0.325,0.301,0.626,41,0.46316908607302,13.0044261853394
"21","Alice Haylett","Grand Rapids Chicks",1946,41,112,104,5,9,23,21,1,1,0,1,8,11,0.221,0.277,0.25,0.527,26,0.419208128802474,8.38603712987428
"22","Vera Whiteman","Grand Rapids Chicks",1946,16,51,45,2,6,6,6,0,0,0,3,6,9,0.133,0.235,0.133,0.369,6,0.395533052092409,3.50974085053418
"23","Genevieve Audrey Wagner","Kenosha Comets",1946,109,432,392,53,53,110,81,15,5,9,37,40,29,0.281,0.347,0.413,0.76,162,0.690614216808208,62.3419919775907
"24","Alice McNaughton","Kenosha Comets",1946,110,396,372,33,24,83,67,10,6,0,21,24,63,0.223,0.27,0.282,0.552,105,0.422949290483187,30.0296489759504
"25","Fern Shollenberger","Kenosha Comets",1946,94,368,342,24,35,77,74,0,3,0,35,26,16,0.225,0.28,0.243,0.523,83,0.567359536630929,41.5021054879686
"26","Shirley Jameson","Kenosha Comets",1946,104,442,374,9,62,74,68,2,3,1,98,68,12,0.198,0.321,0.227,0.549,85,0.729492878501389,68.1814349330373
"27","Margaret Cryan","Kenosha Comets",1946,108,427,355,33,52,70,61,5,1,3,44,72,30,0.197,0.333,0.242,0.575,86,0.592690733942082,50.9231811853022
"28","Dorothy Schroeder","Kenosha Comets",1946,110,388,334,14,31,56,52,3,1,0,24,54,6,0.168,0.284,0.183,0.466,61,0.442017942476871,31.3158103833751
"29","Lois Florreich","Kenosha Comets",1946,78,258,231,21,26,54,46,1,7,0,19,27,28,0.234,0.314,0.299,0.613,69,0.531849280773645,26.7527266438182
"30","Mary Carey","Kenosha Comets",1946,103,327,310,20,32,47,44,3,0,0,42,17,38,0.152,0.196,0.161,0.357,50,0.457693088554549,27.7037940694219
"31","Janice O'Hara","Kenosha Comets",1946,66,176,168,10,15,25,23,2,0,0,6,8,18,0.149,0.188,0.161,0.348,27,0.316950409178723,8.57372673630197
"32","Helen Fox","Kenosha Comets",1946,51,105,100,6,6,20,19,1,0,0,2,5,7,0.2,0.238,0.21,0.448,21,0.394786629649461,7.20588624031419
"33","Ann Harnett","Kenosha Comets",1946,16,60,58,3,4,13,9,3,1,0,5,2,6,0.224,0.25,0.31,0.56,18,0.382020417645687,3.92168761288852
"34","Lillian Hickey","Kenosha Comets",1946,21,62,61,3,3,13,13,0,0,0,1,1,13,0.213,0.226,0.213,0.439,13,0.428337064683386,4.78707092330895
"35","Janet Perkin","Kenosha Comets",1946,36,85,75,2,5,13,11,0,2,0,2,10,12,0.173,0.271,0.227,0.497,17,0.385274605369268,5.62648925517276
"36","Theresa Kobuszewski","Kenosha Comets",1946,21,48,45,3,3,10,10,0,0,0,1,3,9,0.222,0.271,0.222,0.493,10,0.469982437145122,4.21752541525751
"37","Sara Reeser","Muskegon Lassies",1946,110,444,382,39,53,79,74,2,2,1,45,62,37,0.207,0.318,0.23,0.548,88,0.579700170881029,51.4749673746106
"38","Charlene Mayer","Muskegon Lassies",1946,108,432,381,18,64,77,68,9,0,0,45,51,33,0.202,0.296,0.226,0.522,86,0.510824968478048,42.4716525108645
"39","Dorothy Maguire","Muskegon Lassies",1946,101,387,340,47,42,74,62,7,4,1,57,47,18,0.218,0.313,0.271,0.583,92,0.607314296492671,47.6007044448348
