"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"40","Arleene Noga","Muskegon Lassies",1946,112,418,383,31,35,64,53,5,6,0,38,35,67,0.167,0.237,0.211,0.448,81,0.425249470388582,31.9439406063272
"41","Dorothy Stolze","Muskegon Lassies",1946,81,304,273,34,31,53,48,4,1,0,33,31,15,0.194,0.276,0.216,0.492,59,0.513982232788424,30.133010536193
"42","Veronica Josephine Lenard","Muskegon Lassies",1946,83,323,273,25,34,51,44,5,2,0,60,50,19,0.187,0.313,0.22,0.532,60,0.619135489986912,40.7055893559942
"43","Gladys Davis","Muskegon Lassies",1946,58,216,193,31,22,39,31,8,0,0,21,23,22,0.202,0.287,0.244,0.531,47,0.450280423308364,17.8901293448725
"44","Erma Bergmann","Muskegon Lassies",1946,50,150,141,7,13,36,29,5,1,1,2,9,16,0.255,0.3,0.326,0.626,46,0.457590089236604,12.7042098120259
"45","Donna Cook","Muskegon Lassies",1946,78,251,231,14,18,36,31,2,3,0,4,20,16,0.156,0.223,0.19,0.414,44,0.318009942758527,12.295340645088
"46","Alva Jo Fischer","Muskegon Lassies",1946,42,108,97,11,11,30,24,5,1,0,1,11,7,0.309,0.38,0.381,0.761,37,0.473596179020261,9.58928003183842
"47","Doris Sams","Muskegon Lassies",1946,42,121,106,9,15,29,28,1,0,0,6,15,9,0.274,0.364,0.283,0.647,30,0.593885460992677,14.4672061336307
"48","Nancy Warren","Muskegon Lassies",1946,39,131,116,3,12,18,15,1,2,0,3,15,3,0.155,0.252,0.198,0.45,23,0.341271292187054,7.19667612444166
"49","Amy Irene Applegren","Muskegon Lassies",1946,30,71,66,7,10,17,16,0,1,0,1,5,3,0.258,0.31,0.288,0.598,19,0.508245012356353,6.93343191352216
"50","Dorothy Montgomery","Muskegon Lassies",1946,26,57,53,2,5,11,11,0,0,0,0,4,3,0.208,0.263,0.208,0.471,11,0.419612808620445,4.27379514932622
"51","Norma Metrolis","Muskegon Lassies",1946,15,34,32,1,2,6,6,0,0,0,2,2,2,0.188,0.235,0.188,0.423,6,0.45790015472164,2.88231794797821
"52","Thelma Eisen","Peoria Redwings",1946,99,414,362,30,68,93,79,3,9,2,128,52,10,0.257,0.35,0.331,0.682,120,0.92096944176777,84.1425216041485
"53","Mary Rountree","Peoria Redwings",1946,87,332,291,41,22,63,60,1,2,0,27,41,21,0.216,0.313,0.234,0.547,68,0.54963202549182,35.9363987979075
"54","Mary Reynolds","Peoria Redwings",1946,90,289,254,28,18,59,50,5,4,0,9,35,23,0.232,0.325,0.283,0.609,72,0.457216471918014,24.4491538192455
"55","Jean Cione","Peoria Redwings",1946,106,385,343,23,32,59,52,2,5,0,24,42,53,0.172,0.262,0.207,0.469,71,0.429051303899406,29.7965159164809
"56","Rita Moellering","Peoria Redwings",1946,103,361,339,19,26,57,54,0,3,0,19,22,32,0.168,0.219,0.186,0.405,63,0.406113462548313,25.8206239315434
"57","Mary Wood","Peoria Redwings",1946,88,305,269,13,23,52,44,5,3,0,33,36,36,0.193,0.289,0.234,0.523,63,0.502008207278972,29.2978075567209
"58","Helene Van Sant","Peoria Redwings",1946,73,263,252,14,13,46,38,7,1,0,6,11,9,0.183,0.217,0.218,0.435,55,0.312413186076507,12.506591984917
"59","Terry Donahue","Peoria Redwings",1946,95,306,274,14,29,42,41,0,1,0,28,32,38,0.153,0.242,0.161,0.402,44,0.461225597274386,26.2011942179063
"60","Lillian Faralla","Peoria Redwings",1946,55,152,138,13,8,25,24,1,0,0,12,14,28,0.181,0.257,0.188,0.445,26,0.470704705080946,13.383583785646
"61","Jane Stoll","Peoria Redwings",1946,58,184,164,14,13,23,21,2,0,0,12,20,25,0.14,0.234,0.152,0.386,25,0.379597879330098,11.9124715437171
"62","Annabelle Harmon","Peoria Redwings",1946,44,121,98,2,8,14,12,2,0,0,6,23,7,0.143,0.306,0.163,0.469,16,0.391642140471422,8.20658560995465
"63","Catherine Blumetta","Peoria Redwings",1946,43,121,113,6,11,13,13,0,0,0,3,8,27,0.115,0.174,0.115,0.289,13,0.28881851247447,5.02358943437071
"64","Eulah Elizabeth Tucker","Peoria Redwings",1946,38,52,48,0,8,10,9,0,1,0,0,4,12,0.208,0.269,0.25,0.519,12,0.399847213365237,3.6359521157305
"65","Pauline Crawley","Peoria Redwings",1946,20,85,81,4,7,7,7,0,0,0,2,4,9,0.086,0.129,0.086,0.216,7,0.224469439825559,2.12964134018553
"66","Mary Lawson","Peoria Redwings",1946,25,58,57,1,3,6,4,2,0,0,1,1,3,0.105,0.121,0.14,0.261,8,0.133080743542214,0.0971089275812732
"67","Jane Badini","Peoria Redwings",1946,23,62,58,1,1,6,6,0,0,0,1,4,10,0.103,0.161,0.103,0.265,6,0.255921574584489,2.05226952256393
"68","Marian Bryson","Peoria Redwings",1946,15,20,18,0,0,2,2,0,0,0,1,2,3,0.111,0.2,0.111,0.311,2,0.336203094278547,1.07279685858074
"69","Sophie Kurys","Racine Belles",1946,113,435,342,33,117,112,98,5,6,3,201,93,31,0.327,0.471,0.404,0.875,138,1.27014363530236,127.269405662878
"70","Eleanor Wolf","Racine Belles",1946,112,454,403,57,49,102,79,6,9,8,25,51,36,0.253,0.337,0.372,0.709,150,0.639663299389544,59.5989420498046
"71","Edythe Keating","Racine Belles",1946,112,468,431,56,72,99,81,6,8,4,88,37,17,0.23,0.291,0.309,0.599,133,0.710731059737681,69.9457514272043
"72","Lavonne Davis","Racine Belles",1946,101,416,383,59,31,91,77,10,4,0,13,33,15,0.238,0.298,0.285,0.583,109,0.436712388482156,33.0110608970083
"73","Margaret Brown","Racine Belles",1946,113,418,387,41,35,76,68,3,3,2,20,31,21,0.196,0.256,0.235,0.491,91,0.467626006604045,36.4756240006501
"74","Betty Trezza","Racine Belles",1946,111,474,422,43,58,74,60,6,8,0,65,52,42,0.175,0.266,0.227,0.493,96,0.508710769054118,46.3444621467332
"75","Madeline English","Racine Belles",1946,75,281,257,21,21,55,52,1,1,1,39,24,19,0.214,0.281,0.237,0.518,61,0.63121073307214,36.2806830541341
"76","Claire Donahoe","Racine Belles",1946,98,357,310,18,40,50,44,2,4,0,21,47,31,0.161,0.272,0.194,0.465,60,0.419094145421111,26.7200829476661
"77","Irene Hickson","Racine Belles",1946,46,186,147,12,34,28,25,1,1,1,41,39,7,0.19,0.36,0.231,0.592,34,0.761346778562058,30.2075053180275
"78","Joanne Winter","Racine Belles",1946,51,129,115,12,22,25,20,1,3,1,7,14,13,0.217,0.302,0.304,0.607,35,0.524409642399529,13.1308362642575
"79","Anna Mae Hutchison","Racine Belles",1946,52,160,144,9,11,16,15,1,0,0,3,16,15,0.111,0.2,0.118,0.318,17,0.276664186940766,6.14524503516621
"80","Elizabeth Emry","Racine Belles",1946,36,102,85,5,11,14,14,0,0,0,6,17,14,0.165,0.304,0.165,0.469,14,0.472392003490318,9.02511924164225
"81","Doris Barr","Racine Belles",1946,21,45,39,1,6,5,5,0,0,0,1,6,9,0.128,0.244,0.128,0.373,5,0.347198126063437,2.54037343743243
"82","Betty Russell","Racine Belles",1946,12,28,28,1,0,4,3,1,0,0,0,0,3,0.143,0.143,0.179,0.321,5,0.166440681879135,0.285848911956034
"83","Dorothy Kamenshek","Rockford Peaches",1946,107,447,408,22,78,129,120,7,1,1,109,39,10,0.316,0.376,0.346,0.721,141,0.905896811977303,89.1258631810937
"84","Rose Gacioch","Rockford Peaches",1946,111,432,405,57,56,106,82,14,9,1,52,27,19,0.262,0.308,0.348,0.656,141,0.569215428866471,48.9249765016615
"85","Naomi Meier","Rockford Peaches",1946,103,407,374,49,44,93,88,2,2,1,33,33,26,0.249,0.31,0.273,0.582,102,0.599383050914366,49.23485351499
"86","Dorothy Doyle","Rockford Peaches",1946,88,329,301,26,34,64,56,6,2,0,28,28,9,0.213,0.28,0.246,0.525,74,0.488832393963588,30.4942098086373
"87","Mildred Deegan","Rockford Peaches",1946,87,295,272,25,31,58,45,6,5,2,11,23,12,0.213,0.275,0.294,0.569,80,0.447721944503337,24.2401876674856
"88","Helen Steffes","Rockford Peaches",1946,77,274,231,23,33,42,33,5,3,1,23,43,14,0.182,0.31,0.242,0.553,56,0.486237548725844,25.214498962244
"89","Margaret Silvestri","Rockford Peaches",1946,61,162,158,7,17,30,30,0,0,0,21,4,1,0.19,0.21,0.19,0.4,30,0.540935006141746,17.1747821959865
"90","Margaret Wigiser","Rockford Peaches",1946,39,126,118,15,11,24,21,1,2,0,12,8,5,0.203,0.254,0.246,0.5,29,0.494210412362605,11.8519942437556
"91","Dorothy Green","Rockford Peaches",1946,76,227,206,13,14,24,21,1,2,0,16,21,21,0.117,0.198,0.141,0.339,29,0.344642190142982,12.6663385875248
"92","Carolyn Morris","Rockford Peaches",1946,49,136,122,11,4,23,21,1,1,0,2,14,18,0.189,0.272,0.213,0.485,26,0.391095061828535,9.20489621351479
"93","Ruby Heafner","Rockford Peaches",1946,47,151,128,8,16,18,15,1,2,0,6,23,24,0.141,0.272,0.18,0.451,23,0.36588877676677,9.24640076676977
"94","Betty Yahr","Rockford Peaches",1946,22,88,76,8,11,13,11,1,1,0,2,12,12,0.171,0.284,0.211,0.495,16,0.372526084567637,5.53805907209175
"95","Olive Little","Rockford Peaches",1946,34,84,74,4,6,9,8,1,0,0,1,10,7,0.122,0.226,0.135,0.361,10,0.280384880222899,3.30621146982153
"96","Dorothy Stickney","Rockford Peaches",1946,18,30,30,2,2,5,4,0,1,0,0,0,6,0.167,0.167,0.233,0.4,7,0.271256074389607,1.11072611395888
"97","Mary Pratt","Rockford Peaches",1946,14,20,19,0,0,0,0,0,0,0,1,1,2,0,0.05,0,0.05,0,0.107626200811863,-0.0967567812587959
"98","Elizabeth Mahon","South Bend Blue Sox",1946,112,463,399,72,90,110,95,7,7,1,114,64,15,0.276,0.376,0.336,0.712,134,0.839911980408068,84.5000799053855
"99","Betsy Jochum","South Bend Blue Sox",1946,110,444,400,63,64,100,84,7,7,2,73,44,10,0.25,0.324,0.318,0.642,127,0.68814338452619,63.7930516897182
"100","Mary Baker","South Bend Blue Sox",1946,94,386,325,31,63,93,87,4,2,0,94,61,19,0.286,0.399,0.311,0.71,101,0.870644422869139,73.4820356115999
"101","Senaida Mylott","South Bend Blue Sox",1946,107,433,372,27,65,91,86,4,1,0,89,61,22,0.245,0.351,0.261,0.612,97,0.754931449180624,69.6111085392615
"102","Margaret Stefani","South Bend Blue Sox",1946,112,450,370,53,70,83,69,5,8,1,79,80,15,0.224,0.362,0.289,0.651,107,0.686603644341822,64.477857083907
"103","Inez Voyce","South Bend Blue Sox",1946,104,393,329,43,31,69,58,6,3,2,32,64,22,0.21,0.338,0.264,0.603,87,0.551573637838601,42.7343857374142
"104","Jean Faut","South Bend Blue Sox",1946,101,402,344,40,37,61,55,2,2,2,38,58,21,0.177,0.296,0.212,0.508,73,0.541056451841333,42.6313940707443
"105","Daisy Junor","South Bend Blue Sox",1946,99,343,322,22,30,60,53,6,1,0,33,21,35,0.186,0.236,0.211,0.447,68,0.453422243387083,28.6845605727705
"106","Betty Hill","South Bend Blue Sox",1946,48,128,116,12,9,24,20,1,3,0,2,12,11,0.207,0.281,0.267,0.548,31,0.397929058151084,8.88722268743074
"107","Phyllis Koehn","South Bend Blue Sox",1946,48,159,151,14,11,24,18,5,1,0,1,8,15,0.159,0.201,0.205,0.407,31,0.235432539158409,4.42963422183199
"108","Pauline Pirok","South Bend Blue Sox",1946,21,76,71,2,5,14,14,0,0,0,15,5,7,0.197,0.25,0.197,0.447,14,0.663148761086435,10.4335517989184
"109","Dorothy Parker","South Bend Blue Sox",1946,31,82,72,8,13,14,14,0,0,0,12,10,10,0.194,0.293,0.194,0.487,14,0.615583952931261,10.2594212623557
"110","Viola Griffin","South Bend Blue Sox",1946,31,82,66,3,3,4,4,0,0,0,0,16,15,0.061,0.244,0.061,0.305,4,0.250991937134796,2.61087620636694
"111","Marie Kruckel","South Bend Blue Sox",1946,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.291350274791971
