"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"1","Joanne Weaver","Fort Wayne Daisies",1954,93,365,333,87,109,143,94,16,4,29,79,32,24,0.429,0.479,0.763,1.242,254,1.51233407851569,122.645940550997
"2","Jean Harding","Fort Wayne Daisies",1954,93,358,313,91,78,118,73,17,2,26,17,45,41,0.377,0.455,0.693,1.149,217,1.14397793515808,87.366460589392
"3","Betty Foss","Fort Wayne Daisies",1954,92,359,332,54,80,117,90,13,0,14,34,27,21,0.352,0.401,0.518,0.919,172,0.974432714966411,72.4125147487109
"4","Catherine Horstman","Fort Wayne Daisies",1954,86,332,299,55,68,98,67,13,2,16,8,33,10,0.328,0.395,0.545,0.94,163,0.884139369110845,59.4813090447282
"5","Jean Havlish","Fort Wayne Daisies",1954,89,371,276,36,39,70,53,13,0,4,9,95,46,0.254,0.445,0.344,0.789,95,0.58026763029837,38.3190982850172
"6","Mary Hines","Fort Wayne Daisies",1954,76,279,241,21,38,52,42,6,2,2,5,38,37,0.216,0.323,0.282,0.605,68,0.473011729116766,21.3448813826004
"7","Rita Briggs","Fort Wayne Daisies",1954,77,276,230,33,26,49,43,3,0,3,13,46,12,0.213,0.344,0.265,0.609,61,0.586392015818739,28.9289936192253
"8","Alice Blaski","Fort Wayne Daisies",1954,45,178,144,17,35,37,28,4,2,3,1,34,18,0.257,0.399,0.375,0.774,54,0.600112854580134,19.2669316673788
"9","Noella Alverson","Fort Wayne Daisies",1954,51,134,118,15,18,29,25,2,0,2,2,16,17,0.246,0.336,0.314,0.649,37,0.592862479056082,14.2617302096353
"10","Maxine Randall","Fort Wayne Daisies",1954,38,92,85,8,13,16,11,3,0,2,0,7,3,0.188,0.25,0.294,0.544,25,0.448364409520948,6.47226371479667
"11","Marilyn Doxey","Fort Wayne Daisies",1954,31,81,68,8,9,13,12,1,0,0,0,13,5,0.191,0.321,0.206,0.527,14,0.407015752096401,4.86212461675943
"12","Virginia Carver","Fort Wayne Daisies",1954,32,84,75,7,7,13,13,0,0,0,0,9,23,0.173,0.262,0.173,0.435,13,0.387364115501896,4.63002601770716
"13","Shirley Ann Weierman","Fort Wayne Daisies",1954,11,29,28,0,0,5,5,0,0,0,0,1,12,0.179,0.207,0.179,0.385,5,0.360491588364218,1.40387493090613
"14","Patricia Roy","Fort Wayne Daisies",1954,14,38,38,2,0,3,3,0,0,0,0,0,9,0.079,0.079,0.079,0.158,3,0.151849635347619,-0.140102824562915
"15","Joyce Ricketts","Grand Rapids Chicks",1954,93,356,290,72,63,92,59,14,4,15,2,66,21,0.317,0.444,0.548,0.992,159,0.812486856306592,57.4119248076289
"16","Marguerite Tesseine","Grand Rapids Chicks",1954,85,342,272,57,68,89,66,5,0,18,10,70,30,0.327,0.465,0.544,1.009,148,1.02109110806801,72.9679006968752
"17","Dolores Moore","Grand Rapids Chicks",1954,93,341,321,39,35,83,75,5,0,3,6,20,19,0.259,0.302,0.302,0.604,97,0.557360336258877,33.2700716241608
"18","Jean Smith","Grand Rapids Chicks",1954,93,397,309,56,74,78,55,14,0,9,28,88,17,0.252,0.418,0.385,0.803,119,0.708601331647823,53.7260030522825
"19","Renae Youngberg","Grand Rapids Chicks",1954,85,325,282,50,50,76,61,6,1,8,13,43,17,0.27,0.366,0.383,0.749,108,0.722023773083228,45.071477652767
"20","Barbara Sowers","Grand Rapids Chicks",1954,70,254,197,34,35,56,44,8,1,3,7,57,26,0.284,0.445,0.381,0.826,75,0.631626807152497,29.4919391637845
"21","Magdalen Redman","Grand Rapids Chicks",1954,75,232,177,20,39,44,34,6,2,2,0,55,12,0.249,0.427,0.339,0.766,60,0.534362079182809,21.3030967460196
