"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"22","Alma Ziegler","Grand Rapids Chicks",1954,86,253,215,21,33,43,38,3,0,2,5,38,9,0.2,0.32,0.242,0.562,52,0.497922295845782,20.9294100097808
"23","Eleanor Warner","Grand Rapids Chicks",1954,53,110,104,13,16,39,32,1,5,1,1,6,5,0.375,0.409,0.51,0.919,53,0.716135868772566,15.0932432521616
"24","Marilyn Jenkins","Grand Rapids Chicks",1954,53,157,132,18,20,24,20,3,0,1,2,25,12,0.182,0.312,0.227,0.539,30,0.431567530377389,10.3865913019596
"25","Rosemary Stevenson","Grand Rapids Chicks",1954,32,86,82,27,15,19,13,3,0,3,3,4,27,0.232,0.267,0.378,0.645,31,0.643012848563558,10.2299588129007
"26","Earlene Risinger","Grand Rapids Chicks",1954,23,59,53,4,3,11,10,1,0,0,0,6,2,0.208,0.288,0.226,0.515,12,0.394264933172492,3.35370407513493
"27","Jeneane Lesko","Grand Rapids Chicks",1954,22,45,39,3,4,7,7,0,0,0,0,6,3,0.179,0.289,0.179,0.468,7,0.410815020980019,2.74386959924978
"28","Jaynne Bittner","Grand Rapids Chicks",1954,29,43,38,3,7,6,5,1,0,0,0,5,7,0.158,0.256,0.184,0.44,7,0.297845930107319,1.40899431054173
"29","June Peppas","Kalamazoo Lassies",1954,98,403,366,49,75,122,102,4,0,16,15,37,30,0.333,0.395,0.475,0.87,174,0.946528408742029,78.4796817584779
"30","Dorothy Schroeder","Kalamazoo Lassies",1954,98,389,312,65,63,95,70,8,0,17,11,77,41,0.304,0.442,0.494,0.936,154,0.906272521744755,71.843265804295
"31","Fern Shollenberger","Kalamazoo Lassies",1954,95,370,332,58,47,89,73,8,0,8,6,38,12,0.268,0.343,0.364,0.708,121,0.652270507189392,44.8678947129995
"32","Carol Habben","Kalamazoo Lassies",1954,98,350,308,46,45,85,64,5,1,15,8,42,41,0.276,0.363,0.445,0.808,137,0.840021521191003,58.8506309030692
"33","Nancy Cato","Kalamazoo Lassies",1954,98,421,353,22,74,82,62,13,0,7,33,68,52,0.232,0.356,0.329,0.685,116,0.638136693794241,49.5666322957931
"34","Jean Dowler","Kalamazoo Lassies",1954,82,284,259,69,43,74,48,5,0,21,0,25,25,0.286,0.349,0.548,0.897,142,1.01783414747202,60.3622674149154
"35","Chris Ballingall","Kalamazoo Lassies",1954,90,338,285,40,54,69,46,6,0,17,0,53,56,0.242,0.361,0.442,0.803,126,0.808360438491951,54.1608208098864
"36","Jenny Romatowski","Kalamazoo Lassies",1954,68,237,225,26,23,58,49,2,1,6,0,12,6,0.258,0.295,0.356,0.651,80,0.652324245392149,28.7428856086144
"37","Jane Stoll","Kalamazoo Lassies",1954,34,123,106,18,11,32,29,3,0,0,8,17,3,0.302,0.398,0.33,0.729,35,0.63391183943211,14.3517080008774
"38","Mary Taylor","Kalamazoo Lassies",1954,33,98,87,9,12,24,24,0,0,0,1,11,13,0.276,0.357,0.276,0.633,24,0.578968133440133,10.0902274091314
"39","Elaine Roth","Kalamazoo Lassies",1954,26,60,54,0,6,12,12,0,0,0,0,6,11,0.222,0.3,0.222,0.522,12,0.468396991935279,4.52116106817378
"40","Jean Malanowski/Marlowe","Kalamazoo Lassies",1954,41,102,77,11,14,12,9,1,0,2,0,25,14,0.156,0.363,0.247,0.609,19,0.533934854286506,9.35513582409607
"41","Catherine Blumetta","Kalamazoo Lassies",1954,20,38,36,5,5,11,10,1,0,0,0,2,9,0.306,0.342,0.333,0.675,12,0.524031081447139,3.39127644420276
"42","Nancy Warren","Kalamazoo Lassies",1954,26,61,56,4,4,8,5,3,0,0,0,5,9,0.143,0.213,0.196,0.41,11,0.177323162858164,0.163092063488108
"43","Gloria Elliott","Kalamazoo Lassies",1954,28,70,62,1,4,8,7,1,0,0,0,8,21,0.129,0.229,0.145,0.374,9,0.27379385564372,1.87331755385991
"44","Ruth Richard","Rockford Peaches",1954,92,340,325,43,42,97,78,12,0,7,14,15,5,0.298,0.329,0.4,0.729,130,0.676647401104482,43.2994473025064
"45","Eleanor Callow","Rockford Peaches",1954,86,323,273,58,59,89,59,9,1,20,23,50,18,0.326,0.43,0.586,1.016,160,1.08568501970753,74.1236777677598
"46","Margaret Jones","Rockford Peaches",1954,90,342,284,35,67,89,68,9,2,10,17,58,20,0.313,0.43,0.465,0.895,132,0.821719134620498,55.9425423651902
"47","Joan Knebl","Rockford Peaches",1954,85,307,289,22,43,81,65,12,2,2,19,18,5,0.28,0.322,0.356,0.679,103,0.562383727554938,30.3378926297976
"48","Dorothy Key","Rockford Peaches",1954,77,303,277,8,35,70,64,6,0,0,14,26,16,0.253,0.317,0.274,0.591,76,0.521614797991599,26.8581588646318
"49","Rose Gacioch","Rockford Peaches",1954,79,225,217,45,27,66,44,8,1,13,5,8,10,0.304,0.329,0.53,0.859,115,0.901191436797347,41.2691283480023
"50","Jean Cione","Rockford Peaches",1954,74,265,242,27,23,62,50,8,0,4,0,23,24,0.256,0.321,0.339,0.66,82,0.535465681923753,24.4063024549686
"51","Sarah Jane Ferguson","Rockford Peaches",1954,60,189,180,14,14,37,32,4,0,1,5,9,9,0.206,0.243,0.244,0.488,44,0.426207235817724,12.2506408305527
"52","Donna Cook","Rockford Peaches",1954,55,166,152,11,10,33,27,4,0,2,2,14,9,0.217,0.283,0.283,0.566,43,0.479671943258806,12.9758811636689
"53","Dolores Dries","Rockford Peaches",1954,45,106,101,7,7,17,17,0,0,0,1,5,3,0.168,0.208,0.168,0.376,17,0.360869822009738,5.14141579561898
"54","Marie Kelley","Rockford Peaches",1954,42,117,106,6,7,16,13,3,0,0,1,11,31,0.151,0.231,0.179,0.41,19,0.278591180583744,3.27126581905845
"55","Joan Kaufman","Rockford Peaches",1954,43,106,97,5,3,13,10,3,0,0,0,9,13,0.134,0.208,0.165,0.372,16,0.22436138177877,1.52838704771477
"56","Migdalia Jinright","Rockford Peaches",1954,25,62,56,2,1,10,10,0,0,0,0,6,2,0.179,0.258,0.179,0.437,10,0.391241323988877,3.47742304448906
"57","Wanita Dokish","Rockford Peaches",1954,27,54,44,2,5,5,5,0,0,0,0,10,14,0.114,0.278,0.114,0.391,5,0.333116082916302,2.2449967196987
"58","Sue Zipay","Rockford Peaches",1954,34,58,55,1,3,3,2,1,0,0,0,3,11,0.055,0.103,0.073,0.176,4,0.0924631701777984,-1.07388682952522
"59","Betty Francis","South Bend Blue Sox",1954,90,341,300,58,49,105,82,13,2,8,7,41,22,0.35,0.428,0.487,0.915,146,0.75906800220969,50.4445213291575
"60","Wilma Briggs","South Bend Blue Sox",1954,92,359,317,73,69,95,62,7,1,25,16,42,33,0.3,0.382,0.565,0.946,179,1.07299970635566,81.2480323557945
"61","Gertrude Dunn","South Bend Blue Sox",1954,92,358,311,38,9,93,72,14,1,6,25,47,10,0.299,0.391,0.408,0.799,127,0.699450935147731,47.6301795338467
"62","Betty Decker","South Bend Blue Sox",1954,86,350,321,47,75,88,58,13,2,15,26,29,32,0.274,0.334,0.467,0.802,150,0.825417897297088,57.5743839115391
"63","Mary O'Meara","South Bend Blue Sox",1954,85,266,251,19,44,58,45,10,0,3,26,15,29,0.231,0.274,0.307,0.581,77,0.56602182833723,26.5278886755142
"64","Mary Carey","South Bend Blue Sox",1954,84,275,252,17,16,53,48,5,0,0,8,23,20,0.21,0.276,0.23,0.507,58,0.427448417115716,17.9102328642284
"65","Elizabeth Wagoner","South Bend Blue Sox",1954,48,170,150,15,23,48,36,12,0,0,4,20,4,0.32,0.4,0.4,0.8,60,0.467735960644863,12.7818970498684
"66","Mary Baumgartner","South Bend Blue Sox",1954,81,268,226,19,26,42,32,5,1,4,12,42,33,0.186,0.313,0.27,0.583,61,0.534448248471505,24.6145159377996
"67","Glenna Sue Kidd","South Bend Blue Sox",1954,60,179,172,32,18,41,33,3,0,5,2,7,11,0.238,0.268,0.343,0.611,59,0.62641721606028,20.5508466634413
"68","Helen Nordquist","South Bend Blue Sox",1954,52,129,113,16,14,35,25,7,0,3,2,16,16,0.31,0.395,0.451,0.847,51,0.643999416898309,15.3767159536805
"69","Janet Rumsey","South Bend Blue Sox",1954,33,77,75,4,7,20,18,2,0,0,1,2,10,0.267,0.286,0.293,0.579,22,0.463293900201679,5.70404289251889
"70","Maxine Simmons","South Bend Blue Sox",1954,45,107,95,4,8,14,14,0,0,0,1,12,22,0.147,0.243,0.147,0.39,14,0.358333667510727,5.12216094540581
"71","Dolly Ozburn","South Bend Blue Sox",1954,19,51,43,6,4,8,8,0,0,0,0,8,9,0.186,0.314,0.186,0.5,8,0.433026071364646,3.3925618048586
