Player,Team,Year,GP,PA,AB,RBI,R,H,Singles,Doubles,Triples,HR,SB,BB,SO,BA,OBP,SLG,OPS,TB,WOBA,wRAA
Phyllis Koehn,Kenosha Comets,1943,95,367,353,52,56,84,65,9,6,4,37,14,21,0.238,0.267,0.331,0.598,117,0.5430863645158751,39.29531373918595
Mildred Deegan,Rockford Peaches,1943,29,105,97,17,8,20,17,1,2,0,6,8,8,0.206,0.267,0.258,0.524,25,0.41954392095657667,7.720736284793986
Helen Fox,Kenosha Comets,1943,62,163,154,18,15,34,24,3,5,2,8,9,8,0.221,0.264,0.344,0.608,53,0.46321260193410185,13.918007987082245
Eileen Dean,Rockford Peaches,1943,105,413,377,41,39,72,57,8,7,0,12,36,30,0.191,0.262,0.249,0.511,94,0.3401294441454995,21.463761580604746
Mary Elrod,South Bend Blue Sox,1943,29,77,73,6,9,15,15,0,0,0,8,4,11,0.205,0.247,0.205,0.452,15,0.5153526560845234,7.664749305984155
Margaret Berger,South Bend Blue Sox,1943,47,120,113,14,10,22,21,1,0,0,1,7,3,0.195,0.242,0.204,0.445,23,0.3573416501825531,6.7972027418323435
Janice O'Hara,Kenosha Comets,1943,97,361,337,28,46,63,55,3,5,0,19,24,19,0.187,0.241,0.226,0.467,76,0.3875300894969706,23.406986795988548
Marjorie Peters,Rockford Peaches,1943,60,131,125,9,24,25,21,1,2,1,19,6,10,0.2,0.237,0.264,0.501,33,0.5638640325035142,14.765361838773002
Dorothy Green,Rockford Peaches,1943,48,140,128,4,12,21,20,0,0,1,0,12,35,0.164,0.236,0.188,0.423,24,0.3752582635383895,8.611062154946282
Betty Moczynski,Rockford Peaches,1943,59,225,208,27,15,36,32,1,2,1,13,17,13,0.173,0.236,0.212,0.447,44,0.4188577765506132,16.502521168788107
Betty Jane Fritz,Rockford Peaches,1943,98,357,348,3,38,73,68,4,1,0,29,9,16,0.21,0.23,0.227,0.457,79,0.44999031197387174,29.201456243098672
Helen Austin,Kenosha Comets,1943,82,278,263,21,36,48,44,3,1,0,20,15,14,0.183,0.227,0.202,0.428,53,0.40431444558709295,19.292124029813348
Elise Harney,Kenosha Comets,1943,44,123,116,5,13,20,19,0,1,0,5,7,15,0.172,0.22,0.19,0.409,22,0.37304659880316304,7.4915777131117895
Margaret Brown,Racine Belles,1943,61,170,162,21,18,27,24,2,1,0,6,8,11,0.167,0.206,0.191,0.397,31,0.32310120500660827,8.049045002438127
Olive Little,Rockford Peaches,1943,45,118,110,6,10,16,16,0,0,0,4,8,9,0.145,0.203,0.145,0.349,16,0.33471875164943515,5.959165581794259
Ruth Born,South Bend Blue Sox,1943,11,20,18,3,1,2,2,0,0,0,0,2,1,0.111,0.2,0.111,0.311,2,0.25388792382659553,0.5711283893408305
Berith Melin,Rockford Peaches,1943,56,151,146,4,7,23,19,2,2,0,4,5,25,0.158,0.185,0.199,0.384,29,0.2771392797441583,5.265218099630813
Anne Jane McFarlane,Racine Belles,1943,32,86,85,4,5,13,9,2,1,1,2,1,29,0.153,0.163,0.235,0.398,20,0.30101169084223217,3.5561155304553607
Kay McDaniel,Kenosha Comets,1943,25,80,77,8,8,9,8,0,1,0,6,3,6,0.117,0.15,0.143,0.293,11,0.30756004220038957,3.450240840637562
Merna Nearing,Kenosha Comets,1943,7,8,8,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-0.32297849027291703
