Player,Team,Year,GP,PA,AB,RBI,R,H,Singles,Doubles,Triples,HR,SB,BB,SO,BA,OBP,SLG,OPS,TB,WOBA,wRAA
Gladys Davis,Rockford Peaches,1943,102,401,349,58,78,116,95,7,10,4,53,52,9,0.332,0.419,0.444,0.863,155,0.763027986566779,66.88048644569794
Irene Hickson,Racine Belles,1943,68,227,193,24,62,54,45,4,4,1,68,34,16,0.28,0.388,0.358,0.745,69,0.872170800570247,44.58637258128497
Shirley Jameson,Kenosha Comets,1943,105,465,399,32,111,108,88,6,10,4,126,66,7,0.271,0.374,0.366,0.74,146,0.8540947867177148,89.0513276592008
Charlotte Smith,Racine Belles,1943,53,161,149,18,36,47,46,1,0,0,54,12,6,0.315,0.366,0.322,0.689,48,0.979219496658294,36.302067991797614
Margaret Stefani,South Bend Blue Sox,1943,107,468,397,55,87,99,78,6,11,4,90,71,5,0.249,0.363,0.35,0.713,139,0.7235062746689047,73.03345789384184
Mary Wisham,Racine Belles,1943,73,206,186,29,34,52,39,7,4,2,27,20,7,0.28,0.35,0.392,0.742,73,0.6318655141985092,27.02196658929503
Doris Barr,South Bend Blue Sox,1943,65,150,134,18,14,36,28,7,1,0,8,16,11,0.269,0.347,0.336,0.682,45,0.44068139519189836,11.890423916716294
Claire Donahoe,Racine Belles,1943,102,400,350,38,65,88,77,7,3,1,40,50,18,0.251,0.345,0.297,0.642,104,0.5708315564538243,45.84172721336215
Dorothy Kamenshek,Rockford Peaches,1943,101,428,395,39,58,107,95,6,3,3,42,33,6,0.271,0.327,0.324,0.651,128,0.6223223046803054,55.033816278308066
Josephine D'Angelo,South Bend Blue Sox,1943,104,413,358,38,62,79,66,9,2,2,53,55,3,0.221,0.324,0.274,0.598,98,0.5679854758345362,47.01246227231874
Helen Sandiford,Rockford Peaches,1943,83,249,214,20,36,45,41,4,0,0,15,35,16,0.21,0.321,0.229,0.55,49,0.4606031737241521,21.084849695301966
Johanna Hargraves,South Bend Blue Sox,1943,108,423,373,45,47,85,68,10,6,1,24,50,28,0.228,0.319,0.295,0.614,110,0.45226257175459345,34.860994362630485
Edythe Keating,Racine Belles,1943,84,332,310,42,56,83,68,10,4,1,55,22,10,0.268,0.316,0.335,0.652,104,0.6252349630231125,42.952316907947896
Dorothy Schroeder,South Bend Blue Sox,1943,98,354,298,31,44,56,49,4,2,1,39,56,51,0.188,0.316,0.225,0.541,67,0.5206661238921734,35.74860743610392
Betsy Jochum,South Bend Blue Sox,1943,101,466,439,35,70,120,100,12,7,1,66,27,21,0.273,0.315,0.339,0.655,149,0.6047737196078999,57.69982607751537
Mary Baker,South Bend Blue Sox,1943,73,280,256,31,45,64,54,7,2,1,46,24,6,0.25,0.314,0.305,0.619,78,0.6235256751924446,36.094908993757606
Pauline Pirok,Kenosha Comets,1943,88,370,333,33,59,78,71,6,1,0,21,37,33,0.234,0.311,0.258,0.569,86,0.4746268316394655,32.739610093527986
Ann Harnett,Kenosha Comets,1943,101,406,387,69,54,105,79,10,10,6,15,19,7,0.271,0.305,0.395,0.701,153,0.5357907916198706,42.66694779046557
Dorothy Maguire,Racine Belles,1943,70,230,219,33,34,59,50,5,4,0,29,11,7,0.269,0.304,0.329,0.633,72,0.5704624648613014,26.335945838608353
Mildred McAuley,Rockford Peaches,1943,92,373,354,30,62,93,80,5,7,1,34,19,7,0.263,0.3,0.325,0.625,115,0.5534110531884748,40.98329207736275
Genevieve Audrey Wagner,Kenosha Comets,1943,73,283,257,27,30,59,44,3,10,2,17,26,35,0.23,0.3,0.342,0.643,88,0.48855042713271774,26.11116138196139
Mary Louise Lester,Kenosha Comets,1943,94,362,319,31,41,64,57,4,3,0,23,43,26,0.201,0.296,0.232,0.528,74,0.44474603924295913,29.095031129981038
Dorothy Wind,Racine Belles,1943,88,339,321,44,56,82,69,4,7,2,36,18,15,0.255,0.295,0.33,0.625,106,0.5827247797976959,39.94546902139027
Mary Pratt,Rockford Peaches,1943,24,55,51,1,4,12,12,0,0,0,1,4,8,0.235,0.291,0.235,0.526,12,0.46483392116491967,4.720470066694588
Eleanor Wolf,Racine Belles,1943,89,339,309,42,65,68,47,6,5,10,25,30,36,0.22,0.289,0.369,0.658,114,0.6322944953535249,44.507669464528526
Irene Sanvitis,Rockford Peaches,1943,77,299,285,36,54,72,61,5,5,1,22,14,12,0.253,0.288,0.316,0.603,90,0.510620934168064,29.379013603853434
Joanne Winter,Racine Belles,1943,31,87,83,12,9,21,20,0,0,1,7,4,7,0.253,0.287,0.289,0.577,24,0.6343256535086383,11.470297942091802
Madeline English,Racine Belles,1943,101,392,359,23,69,79,75,0,4,0,75,33,21,0.22,0.286,0.242,0.528,87,0.6500909103981796,53.36008195024713
Lois Florreich,South Bend Blue Sox,1943,89,378,351,43,61,81,62,9,6,4,57,27,62,0.231,0.286,0.325,0.611,114,0.6063066552586306,46.96103796848111
Darlene Klammer,Kenosha Comets,1943,47,180,161,29,18,32,29,1,2,0,10,19,20,0.199,0.283,0.23,0.513,37,0.43768152274265576,14.121908848044066
Bea Chester,South Bend Blue Sox,1943,18,65,58,5,6,11,8,2,1,0,6,7,8,0.19,0.277,0.259,0.536,15,0.3977471627408711,4.394855394839046
Lucella Ross,South Bend Blue Sox,1943,70,250,228,22,30,47,42,4,1,0,44,22,9,0.206,0.276,0.232,0.508,53,0.5741549830776088,28.876651067121628
