"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"1","Sophie Kurys","Racine Belles",1949,111,475,416,26,70,102,94,3,3,2,137,59,19,0.245,0.339,0.281,0.62,117,0.993661550925057,96.4474910288859
"2","Jean Smith","Fort Wayne Daisies",1949,25,84,67,11,10,10,5,2,2,1,7,17,14,0.149,0.321,0.284,0.605,19,0.535353386952396,8.22068959731527
"3","Charlene Mayer","Muskegon Lassies",1949,76,315,277,10,56,65,60,2,2,1,68,38,16,0.235,0.327,0.267,0.594,74,0.857159487493616,54.0918140181256
"4","Ernestine Petras","Kenosha Comets",1949,111,446,378,17,59,74,67,4,3,0,73,68,32,0.196,0.318,0.222,0.541,84,0.691903594873296,59.6719984546202
"5","Helen Candaele","Kenosha Comets",1949,107,424,374,32,50,94,80,9,5,0,65,50,59,0.251,0.34,0.302,0.642,113,0.71574739368384,59.0487350563915
"6","Terry Donahue","Peoria Redwings",1949,72,207,159,14,9,14,13,1,0,0,6,48,28,0.088,0.3,0.094,0.394,15,0.380535271943289,12.9032420272226
"7","Alma Ziegler","Grand Rapids Chicks",1949,113,457,370,18,58,67,65,0,2,0,34,87,12,0.181,0.337,0.192,0.529,71,0.584853589991998,49.9161350709043
"8","Margaret Cryan","Kenosha Comets",1949,111,452,387,36,53,79,70,6,3,0,54,65,29,0.204,0.319,0.235,0.554,91,0.62319196889583,53.3470104189105
"9","Inez Voyce","Grand Rapids Chicks",1949,113,441,374,53,51,96,87,6,0,3,22,67,9,0.257,0.37,0.297,0.666,111,0.674459802660472,57.2375477825097
"10","Eulah Elizabeth Tucker","Peoria Redwings",1949,64,153,121,12,16,23,20,1,2,0,4,32,12,0.19,0.359,0.231,0.591,28,0.505040814850576,13.9090156406864
"11","Joyce Westerman","Racine Belles",1949,64,153,121,12,16,23,20,1,2,0,4,32,12,0.19,0.359,0.231,0.591,28,0.505040814850576,13.9090156406864
"12","Marie Kruckel","Muskegon Lassies",1949,48,151,119,8,9,23,21,1,1,0,1,32,15,0.193,0.364,0.218,0.583,26,0.49137019885876,13.2534488487687
"13","Connie Wisniewski","Grand Rapids Chicks",1949,112,462,406,32,64,113,93,13,7,0,41,56,27,0.278,0.366,0.345,0.711,140,0.643909427298688,56.7239111222373
"14","June Emerson","Peoria Redwings",1949,21,64,49,0,3,0,-1,1,0,0,1,15,6,0,0.234,0.02,0.255,1,0.187103856126333,1.14828013837694
"15","Annabelle Harmon","Peoria Redwings",1949,25,63,51,1,4,5,4,1,0,0,3,12,3,0.098,0.27,0.118,0.387,6,0.360049685688199,3.6308820412647
"16","Dorothy Parker","Kenosha Comets",1949,81,200,172,13,23,27,24,3,0,0,22,28,11,0.157,0.275,0.174,0.449,30,0.526144139846,19.1503649282564
"17","Donna Cook","Fort Wayne Daisies",1949,30,79,67,5,7,13,9,3,1,0,3,12,5,0.194,0.316,0.269,0.585,18,0.401030254146169,5.29601094244621
"18","Evelyn Moroz","Fort Wayne Daisies",1949,109,429,391,34,47,98,84,8,6,0,64,38,52,0.251,0.317,0.302,0.619,118,0.702128885022399,58.4042439125491
"19","Mary Rountree","Fort Wayne Daisies",1949,65,211,182,16,12,41,39,2,0,0,16,29,14,0.225,0.332,0.236,0.568,43,0.614596755789431,24.4869198398855
"20","Irene Hickson","Racine Belles",1949,83,252,210,8,23,27,23,3,1,0,16,42,24,0.129,0.274,0.152,0.426,32,0.427203141168063,18.4072912100408
"21","Betty Trezza","Racine Belles",1949,110,440,387,27,47,76,61,6,8,1,53,53,34,0.196,0.293,0.261,0.554,101,0.598411961809609,49.4284264834621
"22","Genevieve Audrey Wagner","Kenosha Comets",1949,97,396,348,40,28,81,66,8,4,3,23,48,55,0.233,0.326,0.305,0.63,106,0.601799145396865,44.7934186544992
"23","Maxine Randall","Fort Wayne Daisies",1949,28,96,82,4,10,19,17,1,1,0,5,14,3,0.232,0.344,0.268,0.612,22,0.576952891033809,10.311596483086
"24","Ruth Lessing","Grand Rapids Chicks",1949,44,141,120,9,9,28,26,2,0,0,2,21,9,0.233,0.348,0.25,0.598,30,0.527282600934444,13.5378474018248
"25","Thelma Eisen","Fort Wayne Daisies",1949,109,460,424,18,59,78,68,7,0,3,57,36,31,0.184,0.248,0.222,0.47,94,0.609707941905877,52.8676928620292
"26","Marguerite Tesseine","Peoria Redwings",1949,30,85,74,4,4,16,12,3,1,0,1,11,10,0.216,0.318,0.284,0.601,21,0.400836653642065,5.69446294996328
"27","Twila Shively","Peoria Redwings",1949,109,405,347,21,31,65,57,4,4,0,18,58,59,0.187,0.304,0.222,0.526,77,0.487344969021373,35.1731936703664
"28","Magdalen Redman","Kenosha Comets",1949,66,161,134,3,15,20,19,1,0,0,2,27,16,0.149,0.292,0.157,0.449,21,0.411464152235226,11.1786645445896
"29","Edythe Keating","Racine Belles",1949,99,397,364,41,38,93,79,3,9,2,44,33,18,0.255,0.317,0.33,0.647,120,0.712017845271325,54.9487505391417
"30","Dorothy Schroeder","Fort Wayne Daisies",1949,104,401,346,31,36,72,64,4,4,0,14,55,40,0.208,0.317,0.243,0.559,84,0.507072462156848,36.6413201544956
"31","Doris Barr","Muskegon Lassies",1949,40,86,70,3,6,5,5,0,0,0,2,16,23,0.071,0.244,0.071,0.316,5,0.325732641310662,4.27912488514441
"32","Marilyn Olinger","Grand Rapids Chicks",1949,113,475,432,18,51,92,79,11,1,1,21,43,25,0.213,0.284,0.25,0.534,108,0.492424763345268,41.8062736138146
"33","Betty Hill","Fort Wayne Daisies",1949,95,358,320,26,32,63,56,5,1,1,17,38,28,0.197,0.282,0.228,0.51,73,0.507707403393112,32.7643685782726
"34","Doris Satterfield","Grand Rapids Chicks",1949,113,443,421,58,42,109,77,22,8,2,15,22,15,0.259,0.296,0.363,0.659,153,0.460536983292453,35.747859772397
"35","Delores White","Kenosha Comets",1949,80,304,274,26,27,58,51,4,3,0,20,30,26,0.212,0.289,0.248,0.538,68,0.531559436929218,29.4863701204613
"36","Wilma Briggs","Fort Wayne Daisies",1949,109,418,362,23,38,73,65,2,5,1,15,56,30,0.202,0.309,0.243,0.552,88,0.526462348441809,40.0547888482518
"37","Mary Reynolds","Peoria Redwings",1949,104,397,344,29,28,68,56,8,4,0,2,53,17,0.198,0.305,0.244,0.549,84,0.409513192736254,27.3870262080925
"38","Madeline English","Racine Belles",1949,111,409,364,21,28,61,50,6,5,0,26,45,44,0.168,0.259,0.212,0.471,77,0.443352262771893,31.3911751293957
"39","Beatrice Allard","Muskegon Lassies",1949,19,23,20,1,1,4,2,1,1,0,0,3,8,0.2,0.304,0.35,0.654,7,0.284151377989026,0.924929851167278
"40","Jean Malanowski/Marlowe","Kenosha Comets",1949,98,336,305,17,25,67,56,6,4,1,16,31,68,0.22,0.292,0.275,0.567,84,0.520579106035871,31.7434810762321
"41","Dorice Reid","Grand Rapids Chicks",1949,99,345,307,23,23,49,45,3,1,0,16,38,32,0.16,0.252,0.176,0.428,54,0.434929324264141,25.8121996573087
"42","Marie Wegman","Muskegon Lassies",1949,60,187,165,9,12,23,22,1,0,0,9,22,26,0.139,0.241,0.145,0.386,24,0.419203631595132,13.3160669492919
"43","Joanne Winter","Racine Belles",1949,32,80,66,4,4,6,6,0,0,0,0,14,15,0.091,0.25,0.091,0.341,6,0.316333144965686,3.80800608678492
"44","Jaynne Bittner","Grand Rapids Chicks",1949,28,48,41,1,3,3,2,1,0,0,0,7,14,0.073,0.208,0.098,0.306,4,0.197453415575598,0.975221147191874
"45","Vivian Kellogg","Fort Wayne Daisies",1949,107,426,397,34,36,98,84,10,3,1,10,29,24,0.247,0.298,0.295,0.593,117,0.511086006909387,39.3180849855443
"46","Alice McNaughton","Muskegon Lassies",1949,98,349,310,18,13,55,51,3,1,0,10,39,23,0.177,0.269,0.194,0.463,60,0.442936607459513,26.7528205565671
"47","Lavonne Davis","Grand Rapids Chicks",1949,110,417,371,37,21,76,71,2,3,0,12,46,11,0.205,0.293,0.226,0.519,84,0.49946122901701,37.3749096433944
"48","Fern Shollenberger","Kenosha Comets",1949,111,402,370,18,32,66,56,7,2,1,18,32,26,0.178,0.244,0.216,0.46,80,0.43860292238978,30.41574731945
"49","Doris Sams","Muskegon Lassies",1949,109,420,408,35,35,114,107,6,1,0,29,12,39,0.279,0.3,0.299,0.599,122,0.64814404772086,51.9753680533704
"50","Dorothy Maguire","Muskegon Lassies",1949,17,59,54,2,3,8,7,1,0,0,3,5,10,0.148,0.22,0.167,0.387,9,0.382809394730111,3.70852848995113
"51","Ruby Stephens","Kenosha Comets",1949,33,73,65,5,8,9,8,1,0,0,2,8,15,0.138,0.233,0.154,0.387,10,0.355095387666053,4.12421047622218
"52","Eleanor Wolf","Racine Belles",1949,68,171,155,16,11,35,31,3,1,0,1,16,18,0.226,0.298,0.258,0.556,40,0.458394418602618,13.714751163378
"53","Jean Cione","Kenosha Comets",1949,84,268,245,27,24,54,44,3,7,0,16,23,42,0.22,0.287,0.29,0.577,71,0.516795316053432,25.0864787522107
"54","Alice DeCambra","Peoria Redwings",1949,101,377,352,26,32,72,65,4,3,0,24,25,18,0.205,0.257,0.233,0.49,82,0.51005950479124,34.7067675184637
"55","Eilaine Roth","Peoria Redwings",1949,91,356,322,13,32,52,50,2,0,0,16,34,21,0.161,0.242,0.168,0.409,54,0.441721851050315,27.1901617943585
"56","Alva Jo Fischer","Muskegon Lassies",1949,109,417,384,47,24,76,73,2,1,0,22,33,30,0.198,0.261,0.208,0.47,80,0.51344505120016,38.7131858825986
"57","Mildred Earp","Grand Rapids Chicks",1949,27,84,74,5,1,13,13,0,0,0,1,10,11,0.176,0.274,0.176,0.449,13,0.450011246406333,6.57545953300958
"58","Barbara Rotvig","Kenosha Comets",1949,32,68,58,3,2,3,3,0,0,0,2,10,14,0.052,0.191,0.052,0.243,3,0.270045648186595,2.51444062033139
"59","Erma Bergmann","Racine Belles",1949,32,85,80,1,2,17,15,2,0,0,1,5,7,0.212,0.259,0.238,0.496,19,0.414901555496013,5.96883473645604
"60","Doreen Allen","Fort Wayne Daisies",1949,97,329,300,18,15,43,39,4,0,0,10,29,34,0.143,0.219,0.157,0.376,47,0.360430556943894,18.9900308315497
"61","Doris Neal","Grand Rapids Chicks",1949,58,203,178,11,11,14,12,2,0,0,4,25,19,0.079,0.192,0.09,0.282,16,0.254532871965753,6.78362593846067
"62","Mary Carey","Peoria Redwings",1949,97,355,330,22,21,54,49,3,1,1,17,25,24,0.164,0.223,0.188,0.41,62,0.4434831323451,27.2572812988754
"63","Nancy Warren","Peoria Redwings",1949,27,70,61,5,5,8,8,0,0,0,0,9,3,0.131,0.243,0.131,0.374,8,0.356259231264272,3.97341957049206
"64","Colleen McCulloch","Grand Rapids Chicks",1949,40,105,98,4,7,18,17,1,0,0,3,7,11,0.184,0.238,0.194,0.432,19,0.43175110717528,7.77929956673994
"65","Rita Moellering","Peoria Redwings",1949,91,349,332,23,28,63,54,8,1,0,7,17,16,0.19,0.229,0.22,0.449,73,0.375201400331033,21.3275211640729
"66","Julie Gutz","Muskegon Lassies",1949,40,129,121,9,6,16,12,3,1,0,5,8,23,0.132,0.186,0.174,0.36,21,0.289099166250608,5.33413216115179
"67","Lorraine Stevens","Grand Rapids Chicks",1949,26,62,55,2,4,7,7,0,0,0,1,7,5,0.127,0.226,0.127,0.353,7,0.363108090091313,3.6167671424231
"68","Bethany Goldsmith","Kenosha Comets",1949,29,66,60,8,11,11,11,0,0,0,1,6,9,0.183,0.258,0.183,0.441,11,0.454129855113921,5.22881721856373
"69","Ruby Heafner","Fort Wayne Daisies",1949,50,157,146,7,5,25,22,2,1,0,4,11,18,0.171,0.229,0.199,0.428,29,0.385648597624219,9.97075817331508
"70","Dorothy Mueller","Peoria Redwings",1949,38,96,90,5,6,16,14,2,0,0,0,6,13,0.178,0.229,0.2,0.429,18,0.339541622734464,5.08093781619472
"71","Therese Uselmann","Muskegon Lassies",1949,37,110,101,4,10,10,10,0,0,0,7,9,18,0.099,0.173,0.099,0.272,10,0.359496913732404,6.32568054582759
"72","Irene Kerwin","Peoria Redwings",1949,27,80,73,1,2,10,10,0,0,0,2,7,12,0.137,0.212,0.137,0.349,10,0.378492738222552,4.94925918711343
"73","Irene Kotowicz","Racine Belles",1949,26,69,61,3,8,6,5,0,1,0,2,8,11,0.098,0.203,0.131,0.334,8,0.310545902434857,3.19276113241013
"74","Mary Baskovich","Grand Rapids Chicks",1949,36,87,85,4,5,14,11,2,1,0,3,2,19,0.165,0.184,0.212,0.396,18,0.320022599613341,4.21487230718823
"75","Alice Haylett","Grand Rapids Chicks",1949,32,90,83,5,7,11,9,1,1,0,0,7,5,0.133,0.2,0.169,0.369,14,0.275857194764634,3.44797392190415
"76","Joan Holderness","Kenosha Comets",1949,34,50,48,8,2,8,8,0,0,0,1,2,8,0.167,0.2,0.167,0.367,8,0.401030757240287,3.35191143279609
"77","Anna Mae Hutchison","Muskegon Lassies",1949,26,55,53,3,1,11,11,0,0,0,0,2,6,0.208,0.236,0.208,0.444,11,0.451650368713075,4.32605028364455
"78","Catherine Blumetta","Fort Wayne Daisies",1949,27,75,70,4,2,10,10,0,0,0,0,5,20,0.143,0.2,0.143,0.343,10,0.339738735832678,3.97287548692906
"79","Margaret Brown","Racine Belles",1949,98,303,290,12,10,32,31,1,0,0,5,13,45,0.11,0.149,0.114,0.262,33,0.27416882562068,11.4907719073457
"80","Jenny Romatowski","Peoria Redwings",1949,5,18,18,0,0,4,4,0,0,0,0,0,0,0.222,0.222,0.222,0.444,4,0.465035181086944,1.47109107836742
"81","Janice O'Hara","Kenosha Comets",1949,17,37,37,2,0,3,2,1,0,0,0,0,20,0.081,0.081,0.108,0.189,4,0.0838490025317573,-0.212941414627203
"82","Sarah Lonetto","Muskegon Lassies",1949,27,56,55,0,4,5,5,0,0,0,2,1,11,0.091,0.107,0.091,0.198,5,0.256277518519677,1.89376734229799
"83","Daisy Junor","Fort Wayne Daisies",1949,9,29,29,0,0,5,5,0,0,0,0,0,0,0.172,0.172,0.172,0.345,5,0.360803157739871,1.67637314622933
"84","Earlene Risinger","Grand Rapids Chicks",1949,30,85,82,1,4,10,9,0,1,0,0,3,10,0.122,0.153,0.146,0.299,12,0.261964628636398,2.98540987655166
"85","Elaine Roth","Peoria Redwings",1949,25,58,58,1,0,5,5,0,0,0,0,0,10,0.086,0.086,0.086,0.172,5,0.180401578869935,0.951414630818799
"86","Elizabeth Mahon","South Bend Blue Sox",1949,106,436,396,60,62,97,78,16,3,0,66,40,18,0.245,0.314,0.301,0.615,119,0.64837339733006,53.9783313147327
"87","Senaida Mylott","South Bend Blue Sox",1949,113,444,389,40,62,89,87,1,0,1,66,55,38,0.229,0.324,0.239,0.563,93,0.762824044416337,66.6310817800216
"88","Mary Baker","South Bend Blue Sox",1949,111,458,408,25,58,88,82,4,2,0,68,50,38,0.216,0.301,0.235,0.537,96,0.68873500149307,60.9444681917308
"89","Elizabeth Wagoner","South Bend Blue Sox",1949,113,466,379,26,58,87,82,4,1,0,64,87,36,0.23,0.373,0.245,0.619,93,0.734942421206404,66.9507581556579
"90","Jane Stoll","South Bend Blue Sox",1949,99,390,341,28,50,79,75,3,1,0,42,49,17,0.232,0.328,0.246,0.575,84,0.670656616709857,50.2778344917291
"91","Helen Steffes","South Bend Blue Sox",1949,92,320,290,26,31,60,54,3,3,0,19,30,28,0.207,0.281,0.238,0.519,69,0.523331889936858,30.434051714741
"92","Betty Whiting","South Bend Blue Sox",1949,93,302,254,40,25,49,39,7,3,0,7,48,45,0.193,0.321,0.244,0.565,62,0.431369420268564,22.3482929186708
"93","Rita Briggs","South Bend Blue Sox",1949,64,207,191,21,23,40,39,1,0,0,22,16,16,0.209,0.271,0.215,0.485,41,0.617658632233293,24.1681722402891
"94","Shirley Stovroff","South Bend Blue Sox",1949,77,228,199,12,22,38,33,4,1,0,8,29,33,0.191,0.294,0.221,0.515,44,0.455039445908795,18.1107821267554
"95","Jean Faut","South Bend Blue Sox",1949,53,129,117,21,14,34,27,7,0,0,12,12,10,0.291,0.357,0.35,0.707,41,0.602445992026599,14.6109457384858
"96","Margaret Maxwell","South Bend Blue Sox",1949,62,186,160,16,26,27,24,3,0,0,24,26,23,0.169,0.285,0.188,0.472,30,0.57196120542324,19.7656375481478
"97","Lillian Faralla","South Bend Blue Sox",1949,38,101,90,6,6,20,20,0,0,0,1,11,7,0.222,0.307,0.222,0.529,20,0.528319973367113,9.72136915304141
"98","Josephine Hasham","South Bend Blue Sox",1949,35,79,69,6,1,11,10,1,0,0,1,10,10,0.159,0.266,0.174,0.44,12,0.385317293890515,5.01112637561294
"99","Dorothy Kamenshek","Rockford Peaches",1949,111,474,385,25,62,98,86,8,4,0,69,89,8,0.255,0.395,0.296,0.691,114,0.755041677174955,70.2865904428876
"100","Dorothy Doyle","Rockford Peaches",1949,111,456,431,50,40,95,87,3,5,0,39,25,7,0.22,0.263,0.251,0.514,108,0.577075676394619,48.9929330616571
"101","Eleanor Callow","Rockford Peaches",1949,105,413,387,36,34,88,72,3,11,2,28,26,29,0.227,0.276,0.307,0.584,119,0.579246479004646,44.5787422307698
