Player,Team,Year,GP,PA,AB,RBI,R,H,Singles,Doubles,Triples,HR,SB,BB,SO,BA,OBP,SLG,OPS,TB,WOBA,wRAA
Ernestine Petras,Grand Rapids Chicks,1945,110,381,359,29,32,58,52,3,3,0,31,22,38,0.162,0.21,0.187,0.397,67,0.4500480163201944,30.310954373257584
Dorothy Maguire,Grand Rapids Chicks,1945,99,368,327,20,35,52,44,6,2,0,27,41,28,0.159,0.253,0.19,0.442,62,0.44091190435739513,28.494359686611553
Alma Ziegler,Grand Rapids Chicks,1945,103,411,365,15,35,51,48,3,0,0,48,46,26,0.14,0.236,0.148,0.384,54,0.5052496064050902,37.977137510313504
Connie Wisniewski,Grand Rapids Chicks,1945,54,155,138,17,18,27,25,1,1,0,5,17,12,0.196,0.284,0.217,0.501,30,0.47633126224998096,13.27923085387714
Margaret Wenzell,Grand Rapids Chicks,1945,34,112,93,11,10,16,13,2,1,0,6,19,15,0.172,0.312,0.215,0.528,20,0.4576927116848119,9.109547049376772
Josephine Kabick,Grand Rapids Chicks,1945,35,103,99,4,6,12,7,4,1,0,0,4,15,0.121,0.155,0.182,0.337,18,0.1403803076412409,0.7721107939279884
Viola Griffin,Grand Rapids Chicks,1945,34,89,77,2,2,8,8,0,0,0,1,12,14,0.104,0.225,0.104,0.329,8,0.32312478579168147,4.451878383524455
Catherine Blumetta,Grand Rapids Chicks,1945,23,73,67,0,6,7,7,0,0,0,1,6,23,0.104,0.178,0.104,0.283,7,0.2918466967350852,3.120213620491034
Philomena Zale,Grand Rapids Chicks,1945,21,138,39,1,6,6,5,1,0,0,1,99,6,0.154,0.761,0.179,0.94,7,0.7220659620565953,19.714024494652627
Elizabeth Bretting,Kenosha Comets,1945,105,399,356,14,41,71,67,2,2,0,41,43,31,0.199,0.286,0.216,0.502,77,0.5923531702396103,44.95569311620616
Genevieve Audrey Wagner,Kenosha Comets,1945,101,375,343,26,26,68,52,5,9,2,13,32,22,0.198,0.267,0.283,0.549,97,0.46535450326146255,31.169306491872607
Ann Harnett,Kenosha Comets,1945,99,351,322,25,22,65,55,5,5,0,14,29,13,0.202,0.268,0.248,0.516,80,0.4508071873432323,27.986272751483508
Shirley Jameson,Kenosha Comets,1945,91,374,307,9,41,58,51,4,2,1,58,67,13,0.189,0.334,0.225,0.559,69,0.6870233474955748,50.37809424496396
Kay Volkov,Kenosha Comets,1945,98,358,333,20,23,56,48,3,4,1,18,25,14,0.168,0.226,0.21,0.436,70,0.43784586323718916,27.46463350710112
Janice O'Hara,Kenosha Comets,1945,88,269,247,16,18,37,36,1,0,0,14,22,16,0.15,0.219,0.154,0.373,38,0.4221130153041528,19.652009835651622
Johanna Hargraves,Kenosha Comets,1945,96,299,273,9,8,32,28,2,2,0,11,26,20,0.117,0.194,0.139,0.333,38,0.32287566100964005,14.938976995243406
Lucille Colacito,Kenosha Comets,1945,68,191,177,6,14,25,22,2,0,1,21,14,22,0.141,0.204,0.169,0.374,30,0.5021766223504015,17.51216102464099
Dorothy Cameron,Kenosha Comets,1945,36,88,83,5,2,12,11,1,0,0,5,5,7,0.145,0.193,0.157,0.35,13,0.38030820601013277,5.572843204704214
Elise Harney,Kenosha Comets,1945,43,104,99,4,7,12,12,0,0,0,3,5,10,0.121,0.163,0.121,0.285,12,0.3236776388140497,5.215574527231622
Helen Fox,Kenosha Comets,1945,46,129,126,3,4,10,9,0,1,0,6,3,11,0.079,0.101,0.095,0.196,12,0.23852952965263338,3.9133022487511755
Mary Pratt,Kenosha Comets,1945,27,54,46,1,3,8,8,0,0,0,0,8,10,0.174,0.296,0.174,0.47,8,0.4388313367530937,4.155093416255668
Mary Rini,Kenosha Comets,1945,23,40,39,0,1,0,0,0,0,0,0,1,12,0,0.025,0,0.025,0,0.022455927753575244,-0.7977975758066492
Sophie Kurys,Racine Belles,1945,105,416,347,15,73,83,74,6,2,1,115,69,27,0.239,0.365,0.277,0.642,96,0.9321332291665635,79.7630843676404
Edythe Keating,Racine Belles,1945,107,414,389,41,47,83,70,4,7,2,44,25,14,0.213,0.261,0.275,0.536,107,0.6052463253215781,47.88786209177631
Eleanor Wolf,Racine Belles,1945,100,391,345,37,26,79,68,9,2,0,21,46,21,0.229,0.32,0.267,0.586,92,0.522419782244684,37.69135105598421
Claire Donahoe,Racine Belles,1945,105,418,357,26,31,66,58,3,4,1,34,61,27,0.185,0.304,0.224,0.528,80,0.5579338375526186,43.74850088891886
Irene Hickson,Racine Belles,1945,97,361,318,21,36,55,49,5,1,0,39,43,33,0.173,0.271,0.195,0.466,62,0.5328739138765984,35.67763276946286
Madeline English,Racine Belles,1945,99,392,349,16,33,54,52,1,1,0,24,43,41,0.155,0.247,0.163,0.411,57,0.461242756520525,32.2072459412553
Mary Wisham,Racine Belles,1945,66,152,135,11,20,43,39,2,2,0,12,17,11,0.319,0.395,0.363,0.758,49,0.7409642927839469,22.382443347738775
Mary Wisham,Racine Belles,1945,66,152,135,11,20,43,39,2,2,0,12,17,11,0.319,0.395,0.363,0.758,49,0.7409642927839469,22.382443347738775
Elizabeth Emry,Racine Belles,1945,96,306,280,19,13,40,39,1,0,0,5,26,28,0.143,0.216,0.146,0.362,41,0.35986465687655333,17.922579885845987
Margaret Brown,Racine Belles,1945,110,355,335,10,25,31,31,0,0,0,12,20,20,0.093,0.144,0.093,0.236,31,0.28046206401875595,14.233168749611115
Joanne Winter,Racine Belles,1945,45,128,118,3,4,14,13,1,0,0,6,10,14,0.119,0.188,0.127,0.315,15,0.340268139185219,6.913329492938752
Janet Murk,Racine Belles,1945,38,111,100,7,6,11,7,1,1,2,8,11,15,0.11,0.198,0.2,0.398,20,0.4880380810983277,9.812028094833694
Jane Badini,Racine Belles,1945,21,46,43,4,2,7,6,0,0,1,0,3,6,0.163,0.217,0.233,0.45,10,0.5285995992655759,4.500426971839647
Anna Mae Hutchison,Racine Belles,1945,24,58,55,2,2,7,6,1,0,0,0,3,4,0.127,0.172,0.145,0.318,8,0.24155084987588016,1.8002470126854468
Dorothy Kamenshek,Rockford Peaches,1945,109,466,419,26,80,115,102,11,2,0,60,47,8,0.274,0.348,0.31,0.658,130,0.709146849948172,65.16961317880191
Rose Gacioch,Rockford Peaches,1945,105,391,374,44,34,79,69,8,2,0,25,17,23,0.211,0.246,0.243,0.489,91,0.4788291632547748,33.72520531048887
Kay Rohrer,Rockford Peaches,1945,100,360,327,26,34,78,67,8,1,2,26,33,9,0.239,0.308,0.287,0.596,94,0.6019961782737814,41.36934632907145
Margaret Wigiser,Rockford Peaches,1945,86,338,309,35,39,77,65,8,2,2,24,29,17,0.249,0.314,0.307,0.621,95,0.6116938837533772,39.60397373671093
Dorothy Doyle,Rockford Peaches,1945,92,338,310,27,36,74,61,6,5,2,24,28,8,0.239,0.302,0.31,0.611,96,0.5970657521544364,38.45342654987075
Mildred Deegan,Rockford Peaches,1945,102,392,346,34,47,72,57,9,5,1,31,46,19,0.208,0.301,0.272,0.573,94,0.529482659251531,38.43201641093114
Helen Steffes,Rockford Peaches,1945,99,372,324,25,44,56,48,7,1,0,28,48,30,0.173,0.28,0.201,0.48,65,0.47448349087166736,31.71020191057622
Veronica Josephine Lenard,Rockford Peaches,1945,95,364,330,24,42,56,49,3,4,0,36,34,17,0.17,0.247,0.203,0.45,67,0.5057362067828732,33.675469823188934
Irene Kotowicz,Rockford Peaches,1945,52,172,154,12,14,25,22,2,1,0,9,18,15,0.162,0.25,0.188,0.438,29,0.42641286189349376,12.7376971346122
Olive Little,Rockford Peaches,1945,34,117,110,9,6,18,15,3,0,0,0,7,16,0.164,0.214,0.191,0.405,21,0.2909551317888548,4.976616525866341
Dorothy Green,Rockford Peaches,1945,44,129,117,5,13,17,11,5,1,0,5,12,9,0.145,0.225,0.205,0.43,24,0.28041770740919314,5.170721351922055
Carolyn Morris,Rockford Peaches,1945,43,124,118,7,12,17,15,0,2,0,2,6,29,0.144,0.185,0.178,0.363,21,0.32795437346252265,6.341974659826925
Amy Irene Applegren,Rockford Peaches,1945,30,78,73,4,8,15,14,1,0,0,5,5,6,0.205,0.256,0.219,0.476,16,0.5084454534322154,7.265346839435684
Dorothy Key,Rockford Peaches,1945,37,93,84,4,5,11,9,2,0,0,6,9,14,0.131,0.215,0.155,0.37,13,0.3584148229949818,5.415682412662439
Alva Jo Fischer,Rockford Peaches,1945,17,39,33,2,3,6,6,0,0,0,0,6,7,0.182,0.308,0.182,0.49,6,0.45570946508975113,3.1540757578538847
Jean Cione,Rockford Peaches,1945,20,50,45,1,2,4,4,0,0,0,0,5,10,0.089,0.18,0.089,0.269,4,0.2549336640495308,1.7076470164920365
Mary Baker,South Bend Blue Sox,1945,110,443,394,21,49,93,82,6,5,0,35,49,17,0.236,0.321,0.277,0.597,109,0.590718368192068,49.744686824504214
Betsy Jochum,South Bend Blue Sox,1945,110,421,388,36,40,92,80,6,5,1,25,33,18,0.237,0.297,0.286,0.583,111,0.5647117937692564,44.72650315940645
Margaret Stefani,South Bend Blue Sox,1945,105,401,337,39,39,78,56,13,8,1,14,64,7,0.231,0.354,0.326,0.681,110,0.4850435434222589,35.1676264511415
Lee Delmonico,South Bend Blue Sox,1945,103,377,349,28,42,73,60,8,4,1,16,28,34,0.209,0.268,0.264,0.532,92,0.466666976466406,31.450683972078913
Elizabeth Mahon,South Bend Blue Sox,1945,80,285,260,21,28,64,56,4,4,0,10,25,16,0.246,0.312,0.292,0.605,76,0.5305545950430067,28.012735238217896
Gertrude Weise,South Bend Blue Sox,1945,81,311,287,19,26,55,42,5,8,0,9,24,32,0.192,0.254,0.265,0.519,76,0.3911377895123923,20.478672714898476
Betty Hill,South Bend Blue Sox,1945,42,123,120,3,8,30,20,7,2,1,9,3,15,0.25,0.268,0.367,0.635,44,0.49049125501157065,10.94300328092566
Charlotte Armstrong,South Bend Blue Sox,1945,47,142,129,8,6,21,19,1,1,0,4,13,14,0.163,0.239,0.186,0.425,24,0.39709074239656494,9.5470976895959
Nalda Phillips,South Bend Blue Sox,1945,41,126,117,5,10,19,18,1,0,0,6,9,19,0.162,0.222,0.171,0.393,20,0.4204401330973562,9.155981106944525
Dolores Klosowski,South Bend Blue Sox,1945,19,70,65,4,2,11,10,1,0,0,0,5,9,0.169,0.229,0.185,0.413,12,0.3437417309264079,3.8373087270674375
Anne Deyotte,South Bend Blue Sox,1945,21,42,39,1,5,4,4,0,0,0,4,3,7,0.103,0.167,0.103,0.269,4,0.40055405293030283,2.8576379709264326
Kay Sopkovic,South Bend Blue Sox,1945,12,15,15,1,0,1,1,0,0,0,0,0,1,0.067,0.067,0.067,0.133,1,0.1375916275293582,0.1027093757066302
