Player,Team,Year,GP,PA,AB,RBI,R,H,Singles,Doubles,Triples,HR,SB,BB,SO,BA,OBP,SLG,OPS,TB,WOBA,wRAA
Helen Candaele,Fort Wayne Daisies,1945,111,460,408,29,77,122,98,17,4,3,92,52,34,0.299,0.378,0.382,0.761,156,0.8616732672143951,80.65734590995424
Vivian Kellogg,Fort Wayne Daisies,1945,107,397,383,38,31,82,65,10,6,1,6,14,17,0.214,0.242,0.279,0.521,107,0.3985922049162139,26.830242437923744
Lavonne Davis,Fort Wayne Daisies,1945,111,429,392,39,29,77,71,6,0,0,7,37,6,0.196,0.266,0.212,0.477,83,0.4280644812913295,31.935065760880818
Faye Dancer,Fort Wayne Daisies,1945,108,389,343,29,44,67,56,7,1,3,29,46,38,0.195,0.29,0.248,0.538,85,0.5665900161237877,41.49688219119231
Penny Cooke,Fort Wayne Daisies,1945,83,298,282,23,34,61,60,0,0,1,43,16,46,0.216,0.258,0.227,0.485,64,0.7066352034776489,41.50081856568616
Margaret Maxwell,Fort Wayne Daisies,1945,99,334,280,17,34,55,52,1,1,1,20,54,45,0.196,0.326,0.218,0.544,61,0.5809950038469518,36.74930175856694
Irene Sanvitis,Fort Wayne Daisies,1945,90,311,290,16,22,45,35,8,2,0,10,21,17,0.155,0.212,0.197,0.409,57,0.31710431376176235,15.120861534289485
Ruth Lessing,Fort Wayne Daisies,1945,110,383,342,31,32,42,37,2,2,1,13,41,50,0.123,0.217,0.149,0.366,51,0.36752585741273414,23.115311640131086
Lillian Jackson,Fort Wayne Daisies,1945,62,202,188,12,24,23,20,1,1,1,7,14,28,0.122,0.183,0.154,0.337,29,0.36134364669407165,11.900766452534576
Audrey Daniels,Fort Wayne Daisies,1945,37,95,85,6,14,14,12,2,0,0,1,10,5,0.165,0.253,0.188,0.441,16,0.34822223511994405,5.306824964026016
Dorothy Collins,Fort Wayne Daisies,1945,46,129,113,5,9,12,9,3,0,0,0,16,34,0.106,0.217,0.133,0.35,15,0.23056308475147952,3.6741617432537645
Annabelle Harmon,Fort Wayne Daisies,1945,31,80,74,6,4,7,5,2,0,0,0,6,6,0.095,0.162,0.122,0.284,9,0.1696597211877436,1.1447663949663172
Arleene Noga,Fort Wayne Daisies,1945,15,19,18,0,2,4,3,0,1,0,0,1,7,0.222,0.263,0.333,0.596,6,0.40952614557569256,1.3324095277340395
Yolande Schick,Fort Wayne Daisies,1945,10,15,13,3,2,3,3,0,0,0,0,2,2,0.231,0.333,0.231,0.564,3,0.5325398306071425,1.4812839907297533
Thelma Eisen,Grand Rapids Chicks,1945,103,430,392,34,41,94,76,16,1,1,41,38,15,0.24,0.307,0.293,0.6,115,0.5675045749273047,45.962101762333226
Twila Shively,Grand Rapids Chicks,1945,106,413,372,23,42,73,63,7,2,1,46,41,53,0.196,0.276,0.234,0.51,87,0.5751473384659901,44.87950818340825
Betty Whiting,Grand Rapids Chicks,1945,103,395,358,14,36,63,58,4,1,0,29,37,17,0.176,0.253,0.193,0.446,69,0.4859197098180306,34.72196216235982
Elizabeth Wicken,Grand Rapids Chicks,1945,89,357,319,28,22,60,49,7,4,0,18,38,31,0.188,0.275,0.235,0.51,75,0.43972021866803124,27.543627563041507
