"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"1","Sophie Kurys","Racine Belles",1947,112,481,432,18,81,99,83,8,6,2,142,49,31,0.229,0.308,0.289,0.597,125,0.836940193905416,87.6004514563562
"2","Dorothy Kamenshek","Rockford Peaches",1947,101,401,366,32,52,112,88,10,8,6,66,35,6,0.306,0.367,0.426,0.793,156,0.825894450939763,71.9095878591426
"3","Veronica Josephine Lenard","Muskegon Lassies",1947,111,430,391,38,58,102,91,10,1,0,83,39,30,0.261,0.328,0.292,0.619,114,0.715635613576698,65.1094263968037
"4","Edythe Keating","Racine Belles",1947,112,457,436,39,62,104,85,11,6,2,83,21,19,0.239,0.274,0.305,0.579,133,0.657888094540717,62.5177794203473
"5","Charlene Mayer","Muskegon Lassies",1947,108,444,422,20,51,105,99,3,2,1,76,22,23,0.249,0.286,0.273,0.559,115,0.710397092644947,66.6405425502791
"6","Margaret Maxwell","Fort Wayne Daisies",1947,104,385,324,23,40,65,61,2,1,1,57,61,63,0.201,0.327,0.222,0.549,72,0.649922188437933,51.8918732812869
"7","Genevieve Audrey Wagner","Kenosha Comets",1947,107,422,390,53,48,119,78,25,9,7,39,32,25,0.305,0.358,0.469,0.827,183,0.634328208077172,55.2132077140272
"8","Dorothy Key","Rockford Peaches",1947,112,419,367,20,51,61,58,2,1,0,71,52,39,0.166,0.27,0.177,0.447,65,0.5906943493326,50.1930634506629
"9","Alma Ziegler","Grand Rapids Chicks",1947,112,450,388,8,55,71,67,4,0,0,67,62,36,0.183,0.296,0.193,0.489,75,0.588526683717355,53.6597285446964
"10","Dorothy Stolze","Muskegon Lassies",1947,103,407,383,22,44,83,78,5,0,0,65,24,18,0.217,0.263,0.23,0.493,88,0.615840323921736,51.3460567334825
"11","Senaida Mylott","South Bend Blue Sox",1947,73,271,229,5,35,52,51,0,1,0,32,42,20,0.227,0.347,0.236,0.583,54,0.646794043828842,36.3119132737873
"12","Mary Baker","South Bend Blue Sox",1947,106,409,369,20,54,80,74,5,1,0,58,40,32,0.217,0.293,0.236,0.529,87,0.605028120224892,50.4790397631246
"13","Doris Sams","Muskegon Lassies",1947,107,374,346,41,31,97,83,9,5,0,40,28,33,0.28,0.334,0.335,0.669,116,0.612140942624788,46.8326582262131
"14","Lillian Faralla","Fort Wayne Daisies",1947,32,69,68,4,7,19,14,3,2,0,7,1,8,0.279,0.29,0.382,0.672,26,0.509616927999251,6.84966046457563
"15","Irene Hickson","Racine Belles",1947,101,351,309,21,34,47,39,6,2,0,49,42,23,0.152,0.254,0.184,0.438,57,0.484910965119636,32.6489468542544
"16","Twila Shively","Grand Rapids Chicks",1947,104,399,369,27,42,76,64,9,2,1,51,30,51,0.206,0.266,0.249,0.515,92,0.541293561764966,42.808045922681
"17","Connie Wisniewski","Grand Rapids Chicks",1947,62,215,189,24,19,55,42,9,4,0,10,26,12,0.291,0.377,0.381,0.758,72,0.50402237907027,21.0386887203594
"18","Dorothy Maguire","Muskegon Lassies",1947,75,254,232,24,28,50,43,6,1,0,27,22,14,0.216,0.283,0.25,0.533,58,0.515534499993998,25.5951429969236
"19","Mary Wisham","Peoria Redwings",1947,110,431,399,43,47,104,81,9,11,3,34,32,32,0.261,0.316,0.361,0.676,144,0.579211123229394,50.3778291916344
"20","Rose Gacioch","Rockford Peaches",1947,100,363,338,31,23,87,78,5,3,1,31,25,20,0.257,0.309,0.299,0.607,101,0.594977899182459,43.8782614980675
"21","Margaret Cryan","Kenosha Comets",1947,105,405,353,30,45,71,61,3,6,1,36,52,32,0.201,0.304,0.252,0.556,89,0.534904722863953,42.7968408543619
"22","Betty Trezza","Racine Belles",1947,112,460,433,27,51,68,60,4,3,1,66,27,36,0.157,0.207,0.187,0.394,81,0.503698798222709,44.9753326725739
"23","Pauline Pirok","South Bend Blue Sox",1947,113,424,400,17,51,77,73,0,4,0,53,24,21,0.192,0.238,0.212,0.451,85,0.54814337798731,46.225387570596
"24","Jane Stoll","Grand Rapids Chicks",1947,71,243,203,12,16,33,27,2,4,0,21,40,41,0.163,0.3,0.212,0.512,43,0.465786061820642,21.4267934384531
"25","Ernestine Petras","Grand Rapids Chicks",1947,112,423,394,25,45,69,60,6,3,0,51,29,31,0.175,0.232,0.206,0.437,81,0.4790760143248,38.7214273746349
