"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"1","Donna Cook","Battle Creek Belles",1951,102,378,358,17,18,67,60,6,1,0,11,20,18,0.187,0.23,0.209,0.44,75,0.426767565261087,25.7344540735817
"2","Pauline Crawley","Battle Creek Belles",1951,105,366,337,21,33,60,56,2,2,0,19,29,35,0.178,0.243,0.196,0.439,66,0.488642745650609,29.8904698320158
"3","Ruby Heafner","Battle Creek Belles",1951,56,160,127,3,20,26,23,3,0,0,6,33,15,0.205,0.369,0.228,0.597,29,0.547837407648549,15.1466736193417
"4","Erma Bergmann","Battle Creek Belles",1951,42,90,87,10,3,18,16,2,0,0,0,3,5,0.207,0.233,0.23,0.463,20,0.39539078546453,5.50713880442484
"5","Fern Battaglia","Battle Creek Belles",1951,19,66,60,4,5,10,9,1,0,0,4,6,8,0.167,0.242,0.183,0.426,11,0.461918699655389,5.00276865220168
"6","Anna Mae O'Dowd","Battle Creek Belles",1951,26,75,68,5,7,9,8,1,0,0,0,7,8,0.132,0.213,0.147,0.36,10,0.307037123353293,3.13414095819589
"7","Migdalia Jinright","Battle Creek Belles",1951,45,117,92,4,8,8,8,0,0,0,1,25,13,0.087,0.282,0.087,0.369,8,0.366229321621335,6.41005148751192
"8","Dora Doris Witiuk","Battle Creek Belles",1951,14,44,40,4,5,4,4,0,0,0,6,4,7,0.1,0.182,0.1,0.282,4,0.497526133885398,3.67922210424632
"9","Betty Foss","Fort Wayne Daisies",1951,94,390,342,58,77,126,86,34,2,4,60,48,34,0.368,0.446,0.515,0.961,176,0.84428886628809,62.308547820134
"10","Evelyn Moroz","Fort Wayne Daisies",1951,104,438,390,54,60,108,100,8,0,0,50,48,18,0.277,0.356,0.297,0.654,116,0.760587666557782,61.9267493210914
"11","Wilma Briggs","Fort Wayne Daisies",1951,102,443,385,43,64,106,91,12,2,1,32,58,23,0.275,0.37,0.325,0.695,125,0.681021968406337,54.893532827283
"12","Thelma Eisen","Fort Wayne Daisies",1951,104,472,399,21,88,78,60,17,1,0,88,73,14,0.195,0.32,0.243,0.563,97,0.676105963582023,57.9774800706439
"13","Jean Weaver","Fort Wayne Daisies",1951,87,328,312,31,39,77,69,4,2,2,31,16,42,0.247,0.284,0.292,0.575,91,0.70392226029745,42.2929499710283
"14","Dorothy Schroeder","Fort Wayne Daisies",1951,85,343,285,45,39,57,42,9,2,4,17,58,50,0.2,0.335,0.288,0.623,82,0.594606502586952,35.9933556034416
"15","Kathryn Vonderau","Fort Wayne Daisies",1951,74,275,249,32,24,55,43,12,0,0,1,26,32,0.221,0.295,0.269,0.564,67,0.388243760474201,16.3957726131018
"16","Joanne Weaver","Fort Wayne Daisies",1951,48,178,163,21,23,45,34,8,2,1,6,15,16,0.276,0.337,0.368,0.705,60,0.562771904020652,17.4344285181761
"17","Mary Rountree","Fort Wayne Daisies",1951,43,118,98,9,16,25,22,3,0,0,9,20,9,0.255,0.381,0.286,0.667,28,0.658987573356803,14.0507978361165
"18","Maxine Randall","Fort Wayne Daisies",1951,26,85,79,3,9,19,16,3,0,0,1,6,4,0.241,0.294,0.278,0.573,22,0.457233911838582,6.35551598865025
"19","Naomi Meier","Fort Wayne Daisies",1951,21,83,75,14,12,18,15,3,0,0,8,8,8,0.24,0.313,0.28,0.593,21,0.596058794809956,8.73623228441406
"20","Mirtha Fernandez","Fort Wayne Daisies",1951,29,89,76,6,9,14,9,5,0,0,0,13,13,0.184,0.303,0.25,0.553,19,0.29661732624389,3.51553799985727
"21","Jean Harding","Fort Wayne Daisies",1951,22,71,67,7,8,13,10,1,0,2,0,4,14,0.194,0.239,0.299,0.538,20,0.621470806001309,7.86936464355755
"22","Patricia Scott","Fort Wayne Daisies",1951,27,87,84,4,12,12,10,2,0,0,0,3,6,0.143,0.172,0.167,0.339,14,0.258192506432926,2.70244519120965
"23","Nancy Warren","Fort Wayne Daisies",1951,27,73,64,0,5,10,10,0,0,0,1,9,15,0.156,0.26,0.156,0.417,10,0.438264410459363,5.15417946693561
"24","Connie Wisniewski","Grand Rapids Chicks",1951,105,434,386,42,78,126,102,15,9,0,22,48,31,0.326,0.401,0.412,0.813,159,0.67422881910523,53.1309030481605
"25","Doris Satterfield","Grand Rapids Chicks",1951,105,438,401,62,64,112,89,12,9,2,36,37,13,0.279,0.34,0.369,0.709,148,0.681436202240885,54.3138088032644
"26","Marilyn Olinger","Grand Rapids Chicks",1951,106,447,401,18,82,107,102,3,2,0,49,46,9,0.267,0.342,0.284,0.627,114,0.76325615893987,63.4611513685317
