"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"1","Jean Cione","Battle Creek Belles",1952,94,365,320,32,43,88,69,17,2,0,7,45,31,0.275,0.364,0.341,0.705,109,0.530986944409306,31.6980541862933
"2","Betty Whiting","Battle Creek Belles",1952,104,385,342,28,38,79,74,4,1,0,14,43,30,0.231,0.317,0.249,0.565,85,0.594740836478796,38.6315508567344
"3","Marjorie Pieper","Battle Creek Belles",1952,91,342,304,47,44,77,54,11,8,4,11,38,33,0.253,0.336,0.382,0.718,116,0.618543780211246,36.0403532614172
"4","Ernestine Petras","Battle Creek Belles",1952,92,362,322,18,38,75,60,14,1,0,42,40,22,0.233,0.318,0.283,0.6,91,0.629013449647487,38.9503834586244
"5","Margaret Jones","Battle Creek Belles",1952,100,372,320,28,39,71,54,13,3,1,14,52,21,0.222,0.331,0.291,0.621,93,0.520428542321429,31.474400499683
"6","Rita Briggs","Battle Creek Belles",1952,111,421,384,29,36,71,62,8,0,1,20,37,14,0.185,0.257,0.214,0.47,82,0.499313935019451,33.738227436508
"7","Donna Cook","Battle Creek Belles",1952,62,216,207,11,27,51,43,5,3,0,13,9,16,0.246,0.278,0.3,0.577,62,0.57323014089679,20.6901078505211
"8","Josephine Hasham","Battle Creek Belles",1952,81,166,158,21,6,35,33,2,0,0,1,8,3,0.222,0.259,0.234,0.493,37,0.494114592344402,13.1202290569927
"9","Ruth Gentry","Battle Creek Belles",1952,86,184,160,10,16,22,19,3,0,0,6,24,32,0.138,0.25,0.156,0.406,25,0.396501241166424,10.7403073126065
"10","Sophie Kurys","Battle Creek Belles",1952,17,72,66,3,8,21,20,0,1,0,17,6,4,0.318,0.375,0.348,0.723,23,1.10398420178738,14.9872722216563
"11","Mary Moore","Battle Creek Belles",1952,42,108,88,0,11,13,12,1,0,0,5,20,31,0.148,0.306,0.159,0.465,14,0.498721714309821,8.64139589642977
"12","Mirtha Fernandez","Battle Creek Belles",1952,32,66,60,3,4,11,10,1,0,0,0,6,5,0.183,0.258,0.2,0.458,12,0.415670303776453,4.12035550615712
"13","Noella Alverson","Battle Creek Belles",1952,34,61,59,2,3,10,7,3,0,0,1,2,12,0.169,0.197,0.22,0.417,13,0.26140769541487,1.81595760798655
"14","Marilyn Doxey","Battle Creek Belles",1952,37,75,65,3,3,6,4,2,0,0,0,10,20,0.092,0.213,0.123,0.336,8,0.221316879368477,1.5961453149818
"15","Gloria Schweigerdt","Battle Creek Belles",1952,39,66,64,4,3,5,3,2,0,0,1,2,17,0.078,0.106,0.109,0.215,7,0.121908294950161,0.015547569880547
"16","Betty McKenna","Battle Creek Belles",1952,11,28,26,0,2,2,2,0,0,0,0,2,7,0.077,0.143,0.077,0.22,2,0.232551405900589,0.662493001551135
"17","Betty Foss","Fort Wayne Daisies",1952,106,467,414,74,81,137,90,26,17,4,56,53,40,0.331,0.407,0.505,0.912,209,0.792002084286524,66.3630415621047
"18","Thelma Eisen","Fort Wayne Daisies",1952,106,450,415,22,77,110,103,6,1,0,54,35,17,0.265,0.322,0.284,0.607,118,0.775703043634217,62.394412306029
"19","Joanne Weaver","Fort Wayne Daisies",1952,84,337,314,50,58,108,90,10,5,3,7,23,23,0.344,0.389,0.436,0.825,137,0.773541553791194,46.572263639635
"20","Wilma Briggs","Fort Wayne Daisies",1952,105,443,399,50,46,102,79,16,4,3,1,44,46,0.256,0.33,0.338,0.668,135,0.539452815665585,39.2658998624485
"21","Dorothy Schroeder","Fort Wayne Daisies",1952,102,452,392,43,67,96,73,12,5,6,5,60,52,0.245,0.345,0.347,0.692,136,0.62728626034351,48.4688961327326
"22","Catherine Horstman","Fort Wayne Daisies",1952,90,340,312,36,36,78,60,11,5,2,3,28,20,0.25,0.312,0.337,0.648,105,0.528776674864429,29.3678519272383
"23","Delores White","Fort Wayne Daisies",1952,88,341,293,23,33,64,49,13,1,1,10,48,22,0.218,0.328,0.28,0.608,82,0.499512020669635,27.3414636516183
"24","Kathryn Vonderau","Fort Wayne Daisies",1952,66,232,219,20,20,46,35,8,2,1,1,13,20,0.21,0.254,0.279,0.533,61,0.414334504244112,14.4180620103896
"25","Jean Weaver","Fort Wayne Daisies",1952,55,168,160,19,21,36,24,9,3,0,8,8,17,0.225,0.262,0.319,0.581,51,0.398603761246415,9.88115051650015
"26","Patricia Scott","Fort Wayne Daisies",1952,27,82,79,4,4,19,16,3,0,0,0,3,3,0.241,0.268,0.278,0.547,22,0.435797233015016,5.46864706536701
"27","Nancy Warren","Fort Wayne Daisies",1952,28,89,82,9,9,18,15,2,1,0,1,7,8,0.22,0.281,0.268,0.549,22,0.46026208970694,6.39646690424049
"28","Maxine Randall","Fort Wayne Daisies",1952,28,95,89,5,9,14,13,1,0,0,1,6,6,0.157,0.211,0.169,0.379,15,0.377404065575981,5.16116584498164
"29","Lois Youngen","Fort Wayne Daisies",1952,11,16,16,0,2,5,5,0,0,0,0,0,1,0.312,0.312,0.312,0.625,5,0.708890062067848,1.99214216822729
"30","Dolly Ozburn","Fort Wayne Daisies",1952,10,17,14,1,0,1,1,0,0,0,0,3,7,0.071,0.235,0.071,0.307,1,0.307662508858264,0.672565421127894
"31","Jaynie Krick","Grand Rapids Chicks",1952,54,125,117,6,13,199,198,0,1,0,0,8,17,1.701,1.656,1.718,3.374,201,3.66248446329571,93.7289370524081
"32","Inez Voyce","Grand Rapids Chicks",1952,107,437,390,54,57,115,86,16,3,10,19,47,14,0.295,0.371,0.428,0.799,167,0.817346027876819,64.4447078844725
"33","Doris Satterfield","Grand Rapids Chicks",1952,103,410,386,51,43,110,89,14,7,0,40,24,13,0.285,0.327,0.358,0.684,138,0.680540916834787,48.58783861938
"34","Connie Wisniewski","Grand Rapids Chicks",1952,105,415,360,25,64,96,79,14,3,0,35,55,33,0.267,0.364,0.322,0.686,116,0.664662966605609,47.7853038476982
"35","Dorothy Stolze","Grand Rapids Chicks",1952,81,330,308,19,34,74,66,4,4,0,23,22,11,0.24,0.291,0.279,0.57,86,0.626963871802159,35.3640593925796
"36","Alma Ziegler","Grand Rapids Chicks",1952,85,282,249,16,20,49,46,2,1,0,7,33,9,0.197,0.291,0.213,0.504,53,0.519989674583486,23.8334240887972
"37","Renae Youngberg","Grand Rapids Chicks",1952,86,305,287,24,27,48,39,7,2,0,5,18,33,0.167,0.216,0.206,0.422,59,0.352824799746232,14.9828939684656
