"","Player","Team","Year","GP","PA","AB","RBI","R","H","Singles","Doubles","Triples","HR","SB","BB","SO","BA","OBP","SLG","OPS","TB","WOBA","wRAA"
"38","Jean Smith","Grand Rapids Chicks",1952,69,215,194,18,28,38,30,6,1,1,21,21,11,0.196,0.274,0.253,0.527,49,0.588584495459508,21.2932336084946
"39","Marilyn Olinger","Grand Rapids Chicks",1952,47,191,173,10,22,35,33,1,1,0,14,18,1,0.202,0.277,0.22,0.497,38,0.601092520020274,19.4221104830171
"40","Magdalen Redman","Grand Rapids Chicks",1952,43,130,114,4,7,25,24,1,0,0,2,16,14,0.219,0.315,0.228,0.543,26,0.556098714146452,11.9808705342361
"41","Mary Lou Caden","Grand Rapids Chicks",1952,31,69,62,10,6,18,18,0,0,0,0,7,7,0.29,0.362,0.29,0.653,18,0.691927071928202,8.34331111784692
"42","Margaret Silvestri","Grand Rapids Chicks",1952,27,61,61,7,3,11,9,1,1,0,1,0,2,0.18,0.18,0.23,0.41,14,0.354354217133591,3.01633070535681
"43","Earlene Risinger","Grand Rapids Chicks",1952,27,69,66,4,4,10,10,0,0,0,0,3,7,0.152,0.188,0.152,0.34,10,0.371685455625283,3.66509655848879
"44","Marilyn Jenkins","Grand Rapids Chicks",1952,19,33,30,2,1,4,3,1,0,0,0,3,6,0.133,0.212,0.167,0.379,5,0.260402672937962,0.97538158447397
"45","Joan Jaykoski","Grand Rapids Chicks",1952,15,46,41,0,2,1,1,0,0,0,0,5,7,0.024,0.13,0.024,0.155,1,0.156626209099407,0.348951414684804
"46","Doris Sams","Kalamazoo Lassies",1952,109,451,408,57,47,128,88,25,3,12,15,43,23,0.314,0.379,0.478,0.857,195,0.800564340684555,64.9069183478985
"47","June Peppas","Kalamazoo Lassies",1952,108,443,412,36,38,108,96,12,0,0,8,31,20,0.262,0.314,0.291,0.605,120,0.558014459723413,41.0067983297556
"48","Fern Shollenberger","Kalamazoo Lassies",1952,86,334,316,29,32,72,64,7,1,0,11,18,18,0.228,0.269,0.256,0.526,81,0.518700406233258,28.137071744473
"49","Betty Francis","Kalamazoo Lassies",1952,99,371,329,14,20,69,61,8,0,0,4,42,18,0.21,0.299,0.234,0.533,77,0.476832835727168,27.9654989826383
"50","Jenny Romatowski","Kalamazoo Lassies",1952,68,232,224,18,13,50,45,5,0,0,3,8,15,0.223,0.25,0.246,0.496,55,0.46961375585863,17.1332719582114
"51","Mary Carey","Kalamazoo Lassies",1952,65,214,196,2,23,41,40,1,0,0,5,18,15,0.209,0.276,0.214,0.49,42,0.539270802517559,18.9599308573875
"52","Dorothy Parker","Kalamazoo Lassies",1952,70,276,237,6,24,36,34,2,0,0,7,39,11,0.152,0.272,0.16,0.432,38,0.451375710287096,19.3169716447059
"53","Jean Dowler","Kalamazoo Lassies",1952,55,153,142,12,10,35,27,5,2,1,0,11,16,0.246,0.301,0.331,0.632,47,0.509224100429476,12.5821762501642
"54","Marguerite Tesseine","Kalamazoo Lassies",1952,44,155,138,11,11,28,24,3,1,0,5,17,5,0.203,0.29,0.239,0.529,33,0.493763936187063,12.2393091734075
"55","Agnes Allen","Kalamazoo Lassies",1952,56,167,161,10,15,26,20,6,0,0,6,6,13,0.161,0.192,0.199,0.39,32,0.322947169693311,7.14737890468881
"56","Jean Malanowski/Marlowe","Kalamazoo Lassies",1952,35,96,86,12,12,25,18,4,0,3,2,10,9,0.291,0.365,0.442,0.806,38,0.830174037377214,14.417915496856
"57","Doris Cook","Kalamazoo Lassies",1952,55,165,152,6,10,18,18,0,0,0,0,13,20,0.118,0.188,0.118,0.306,18,0.325252102224198,7.14230000847308
"58","Gloria Elliott","Kalamazoo Lassies",1952,28,82,79,5,9,16,13,3,0,0,0,3,16,0.203,0.232,0.241,0.472,19,0.352805225748536,4.0278480683831
"59","Catherine Blumetta","Kalamazoo Lassies",1952,21,58,55,1,1,11,10,1,0,0,0,3,10,0.2,0.241,0.218,0.46,12,0.421938372366768,3.69788732731263
"60","Joan Schatz","Kalamazoo Lassies",1952,13,45,43,0,4,8,8,0,0,0,4,2,6,0.186,0.222,0.186,0.408,8,0.590607442120066,4.47599635337164
"61","Ruth Heverly","Kalamazoo Lassies",1952,23,57,52,2,3,8,8,0,0,0,0,5,13,0.154,0.228,0.154,0.382,8,0.40498145629636,3.42949796425946
"62","Elaine Roth","Kalamazoo Lassies",1952,21,27,24,1,1,3,3,0,0,0,0,3,3,0.125,0.222,0.125,0.347,3,0.361746631400916,1.37735465240098
"63","Margaret Alice Deschaine","Rockford Peaches",1952,108,440,418,34,45,113,98,8,6,1,35,22,27,0.27,0.307,0.325,0.632,136,0.695070703604383,53.4965679326183
"64","Ruth Richard","Rockford Peaches",1952,106,407,394,46,41,112,90,14,5,3,9,13,12,0.284,0.307,0.368,0.675,145,0.612636139050308,42.3810764198316
"65","Eleanor Callow","Rockford Peaches",1952,107,442,400,49,56,101,73,14,6,8,39,42,25,0.252,0.324,0.378,0.701,151,0.767760621683861,60.5419392903528
"66","Joan Knebl","Rockford Peaches",1952,109,421,382,33,54,96,84,5,6,1,24,39,34,0.251,0.321,0.304,0.624,116,0.657069465854926,47.7993491201074
"67","Amy Irene Applegren","Rockford Peaches",1952,105,392,364,29,47,92,84,7,0,1,24,28,31,0.253,0.306,0.28,0.586,102,0.660358828663779,44.7797501303821
"68","Dorothy Key","Rockford Peaches",1952,108,392,354,41,54,86,73,8,4,1,46,38,27,0.243,0.316,0.297,0.613,105,0.717216276447697,49.4984972581801
"69","Dorothy Doyle","Rockford Peaches",1952,93,375,362,27,40,83,74,6,1,2,18,13,12,0.229,0.256,0.268,0.524,97,0.596722877581249,37.7854949853381
"70","Jean Buckley","Rockford Peaches",1952,96,339,317,35,31,62,49,8,1,4,14,22,61,0.196,0.248,0.265,0.513,84,0.552946626474511,31.016193375491
"71","Rose Gacioch","Rockford Peaches",1952,47,128,121,11,8,26,19,6,1,0,2,7,11,0.215,0.258,0.281,0.539,34,0.366839351558743,6.66769211042092
"72","Jacquelyn Savage","Rockford Peaches",1952,42,135,122,15,12,22,13,5,4,0,3,13,17,0.18,0.259,0.287,0.546,35,0.32840723910218,5.93387897259554
"73","Georgia Terkowski","Rockford Peaches",1952,17,36,35,3,6,6,4,1,1,0,5,1,13,0.171,0.194,0.257,0.452,9,0.492106779848289,2.83004779696122
"74","Helen Nordquist","Rockford Peaches",1952,22,44,38,3,4,4,4,0,0,0,1,6,8,0.105,0.227,0.105,0.333,4,0.377527801887185,2.39158737217976
"75","Helen Fox","Rockford Peaches",1952,15,43,43,1,3,4,3,1,0,0,0,0,8,0.093,0.093,0.116,0.209,5,0.130964505929753,0.0925752255403439
"76","Elizabeth Wagoner","South Bend Blue Sox",1952,97,417,353,27,64,104,93,7,4,0,40,64,16,0.295,0.403,0.337,0.74,119,0.799819174582595,59.9479265060879
"77","Jane Stoll","South Bend Blue Sox",1952,86,356,316,60,45,95,68,23,3,1,21,40,17,0.301,0.379,0.402,0.781,127,0.598506565730181,36.0054679550672
"78","Veronica Josephine Lenard","South Bend Blue Sox",1952,104,410,351,47,49,91,76,15,0,0,47,59,24,0.259,0.366,0.302,0.668,106,0.704613884181664,50.6774559421926
"79","Gertrude Dunn","South Bend Blue Sox",1952,95,357,326,21,35,77,60,15,2,0,13,31,14,0.236,0.303,0.294,0.597,96,0.480680535953604,27.2010160971775
"80","Shirley Stovroff","South Bend Blue Sox",1952,93,371,296,39,46,74,61,10,2,1,8,75,23,0.25,0.402,0.307,0.709,91,0.607183179425152,38.2040704630394
"81","Joyce Westerman","South Bend Blue Sox",1952,86,323,264,36,39,73,68,5,0,0,12,59,14,0.277,0.409,0.295,0.704,78,0.699689659048086,39.5872077801918
"82","Charlene Mayer","South Bend Blue Sox",1952,79,316,293,18,41,70,63,6,1,0,59,23,21,0.239,0.294,0.266,0.561,78,0.805538581664317,45.8108058112917
"83","Jean Faut","South Bend Blue Sox",1952,73,257,230,32,30,67,55,12,0,0,15,27,11,0.291,0.366,0.343,0.709,79,0.628566360585807,27.6282937550517
"84","Dorothy Mueller","South Bend Blue Sox",1952,47,160,152,21,17,38,23,11,2,2,1,8,23,0.25,0.288,0.388,0.676,59,0.441247031965438,10.8551402291604
"85","Barbara Hoffman","South Bend Blue Sox",1952,49,154,134,11,11,23,18,3,1,1,3,20,30,0.172,0.279,0.231,0.511,31,0.472793510752186,11.4766212369868
"86","Glenna Sue Kidd","South Bend Blue Sox",1952,30,54,52,6,8,15,14,1,0,0,0,2,6,0.288,0.315,0.308,0.623,16,0.602943461254628,5.51222905479406
"87","Georgette Mooney","South Bend Blue Sox",1952,36,80,71,9,9,12,9,2,1,0,3,9,8,0.169,0.262,0.225,0.488,16,0.406934786617989,4.84641454798618
"88","Janet Rumsey","South Bend Blue Sox",1952,26,52,51,3,3,6,6,0,0,0,0,1,15,0.118,0.135,0.118,0.252,6,0.280730012994112,1.76075311556058
"89","Mary Baumgartner","South Bend Blue Sox",1952,34,70,50,0,7,5,5,0,0,0,2,20,15,0.1,0.357,0.1,0.457,5,0.490218197745,5.47488172893347
"90","Louise Arnold","South Bend Blue Sox",1952,16,21,20,1,1,2,2,0,0,0,0,1,2,0.1,0.143,0.1,0.243,2,0.263055613391684,0.632492429735541
